date,code,name,shares,amount,weight
2026-05-28,2330,台積電,11960000,27448200000,9.75
2026-05-28,2383,台光電,4723000,23874765000,8.48
2026-05-28,2454,聯發科,4263000,18799830000,6.68
2026-05-28,2308,台達電,6572000,15707080000,5.58
2026-05-28,2345,智邦,6231000,15172485000,5.39
2026-05-28,2327,國巨*,18313000,13588246000,4.83
2026-05-28,3017,奇鋐,5141000,13263780000,4.71
2026-05-28,6223,旺矽,2169000,12829635000,4.56
2026-05-28,3037,欣興,12466000,12777650000,4.54
2026-05-28,6669,緯穎,2344000,11602800000,4.12
2026-05-28,3711,日月光投控,17948000,11253396000,4.0
2026-05-28,2368,金像電,7769000,10138545000,3.6
2026-05-28,2303,聯電,71190000,10108980000,3.59
2026-05-28,3665,貿聯-KY,4703848,9948638520,3.53
2026-05-28,8046,南電,11398000,9688300000,3.44
2026-05-28,3653,健策,2267000,7934500000,2.82
2026-05-28,5274,信驊,422000,7526370000,2.67
2026-05-28,6274,台燿,4151000,6392540000,2.27
2026-05-28,6515,穎崴,442000,4031040000,1.43
2026-05-28,6805,富世達,1761000,3108165000,1.1
2026-05-28,6510,精測,930000,3050400000,1.08
2026-05-28,8210,勤誠,2167000,2871275000,1.02
2026-05-28,2449,京元電子,8268000,2645760000,0.94
2026-05-28,3533,嘉澤,852000,2117220000,0.75
2026-05-28,2404,漢唐,1715000,1989400000,0.71
2026-05-28,6187,萬潤,1334000,1654160000,0.59
2026-05-28,3264,欣銓,6217000,1464103500,0.52
2026-05-28,5439,高技,3528000,1305360000,0.46
2026-05-28,6147,頎邦,4631000,1287418000,0.46
2026-05-28,8150,南茂,11635000,1198405000,0.43
2026-05-28,8996,高力,1034000,1132230000,0.4
2026-05-28,3008,大立光,329000,1126825000,0.4
2026-05-28,8358,金居,1980000,1094940000,0.39
2026-05-28,4966,譜瑞-KY,1036000,875420000,0.31
2026-05-28,6278,台表科,3734000,830815000,0.3
2026-05-28,1590,亞德客-KY,530000,736700000,0.26
2026-05-28,3443,創意,96000,440640000,0.16
2026-05-28,6191,精成科,3988000,387234800,0.14
2026-05-28,3376,新日興,1741000,356905000,0.13
2026-05-28,6271,同欣電,686000,167727000,0.06
2026-05-28,2002,中鋼,5163000,97322550,0.03
2026-05-28,2313,華通,329000,85211000,0.03
2026-05-28,1319,東陽,511000,44201500,0.02
2026-05-28,2357,華碩,1000,692000,0.0
2026-05-28,3661,世芯-KY,1000,4300000,0.0
2026-05-28,1815,富喬,107000,11074500,0.0
2026-05-28,2439,美律,18000,1647000,0.0
2026-05-28,2317,鴻海,1000,263000,0.0
2026-05-28,5347,世界,1000,161500,0.0
2026-05-28,2481,強茂,5000,740000,0.0
