date,code,name,shares,amount,weight
2026-06-23,2330,台積電,11960000,29780400000,10.13
2026-06-23,2383,台光電,4486000,25570200000,8.7
2026-06-23,2327,國巨*,23892000,24369840000,8.29
2026-06-23,2454,聯發科,4977000,22570695000,7.68
2026-06-23,2345,智邦,6334000,15423290000,5.25
2026-06-23,6223,旺矽,2279000,15223720000,5.18
2026-06-23,2303,聯電,77390000,13156300000,4.48
2026-06-23,3037,欣興,13307000,12961018000,4.41
2026-06-23,2308,台達電,6222000,12941760000,4.4
2026-06-23,3017,奇鋐,5191000,12588175000,4.28
2026-06-23,3711,日月光投控,17948000,11881576000,4.04
2026-06-23,6669,緯穎,2417000,11299475000,3.85
2026-06-23,2368,金像電,8315000,10518475000,3.58
2026-06-23,3665,貿聯-KY,4833848,9667696000,3.29
2026-06-23,6274,台燿,5058000,8775630000,2.99
2026-06-23,3653,健策,2267000,8705280000,2.96
2026-06-23,8046,南電,8917000,8105553000,2.76
2026-06-23,5274,信驊,422000,7809110000,2.66
2026-06-23,6510,精測,930000,3408450000,1.16
2026-06-23,6515,穎崴,348000,3288600000,1.12
2026-06-23,6805,富世達,1811000,3196415000,1.09
2026-06-23,8210,勤誠,2267000,2969770000,1.01
2026-06-23,2449,京元電子,6484000,2136478000,0.73
2026-06-23,3533,嘉澤,852000,1904220000,0.65
2026-06-23,2317,鴻海,7307000,1896166500,0.65
2026-06-23,6147,頎邦,6275000,1618950000,0.55
2026-06-23,6187,萬潤,1334000,1560780000,0.53
2026-06-23,5439,高技,3528000,1134252000,0.39
2026-06-23,4966,譜瑞-KY,1642000,1085362000,0.37
2026-06-23,6278,台表科,4334000,884136000,0.3
2026-06-23,6271,同欣電,2966000,725187000,0.25
2026-06-23,1590,亞德客-KY,530000,728750000,0.25
2026-06-23,8358,金居,980000,643860000,0.22
2026-06-23,8996,高力,354000,513300000,0.17
2026-06-23,6191,精成科,3988000,395210800,0.13
2026-06-23,3264,欣銓,1508000,352118000,0.12
2026-06-23,3376,新日興,1741000,352552500,0.12
2026-06-23,6488,環球晶,350000,353500000,0.12
2026-06-23,8150,南茂,1444000,153786000,0.05
2026-06-23,2002,中鋼,5163000,99129600,0.03
2026-06-23,3661,世芯-KY,1000,4375000,0.0
2026-06-23,1815,富喬,107000,10753500,0.0
2026-06-23,3443,創意,1000,4725000,0.0
2026-06-23,2439,美律,18000,1639800,0.0
2026-06-23,3008,大立光,1000,5000000,0.0
2026-06-23,4958,臻鼎-KY,1000,587000,0.0
2026-06-23,2382,廣達,1000,372500,0.0
2026-06-23,2313,華通,1000,243000,0.0
2026-06-23,5347,世界,1000,186500,0.0
2026-06-23,2481,強茂,5000,967500,0.0
