date,code,name,shares,amount,weight
2026-07-16,2330,台積電,11960000,29541200000,10.92
2026-07-16,2383,台光電,4653000,23218470000,8.59
2026-07-16,2327,國巨*,25098000,19476048000,7.2
2026-07-16,2454,聯發科,5131000,18984700000,7.02
2026-07-16,6223,旺矽,2443000,15195460000,5.62
2026-07-16,2345,智邦,6334000,14694880000,5.43
2026-07-16,3037,欣興,16607000,14647374000,5.42
2026-07-16,2303,聯電,86550000,13848000000,5.12
2026-07-16,6669,緯穎,2417000,12362955000,4.57
2026-07-16,8046,南電,9519000,12136725000,4.49
2026-07-16,3017,奇鋐,5191000,11549975000,4.27
2026-07-16,3711,日月光投控,16135000,11004070000,4.07
2026-07-16,2308,台達電,5181000,9869805000,3.65
2026-07-16,3665,貿聯-KY,4833848,9450172840,3.49
2026-07-16,2368,金像電,8315000,8356575000,3.09
2026-07-16,3653,健策,2267000,7696465000,2.85
2026-07-16,6274,台燿,5160000,6682200000,2.47
2026-07-16,5274,信驊,448900,6241954500,2.31
2026-07-16,8210,勤誠,2267000,2663725000,0.98
2026-07-16,6805,富世達,1811000,2562565000,0.95
2026-07-16,2449,京元電子,5193000,1651374000,0.61
2026-07-16,6187,萬潤,1334000,1434050000,0.53
2026-07-16,6147,頎邦,6275000,1242450000,0.46
2026-07-16,5439,高技,3528000,1019592000,0.38
2026-07-16,6510,精測,349000,935320000,0.35
2026-07-16,6515,穎崴,130000,875550000,0.32
2026-07-16,6278,台表科,4334000,769285000,0.28
2026-07-16,1590,亞德客-KY,528000,712800000,0.26
2026-07-16,6271,同欣電,2966000,664384000,0.25
2026-07-16,6191,精成科,3988000,372878000,0.14
2026-07-16,3264,欣銓,1508000,358150000,0.13
2026-07-16,3376,新日興,1741000,338624500,0.13
2026-07-16,2002,中鋼,5163000,97064400,0.04
2026-07-16,4966,譜瑞-KY,140000,88340000,0.03
2026-07-16,8996,高力,1000,1125000,0.0
2026-07-16,8358,金居,1000,439000,0.0
2026-07-16,3661,世芯-KY,1000,3770000,0.0
2026-07-16,1815,富喬,107000,9533700,0.0
2026-07-16,3443,創意,1000,4185000,0.0
2026-07-16,2439,美律,1000,85800,0.0
2026-07-16,3008,大立光,1000,4260000,0.0
2026-07-16,4958,臻鼎-KY,1000,578000,0.0
2026-07-16,2382,廣達,1000,352000,0.0
2026-07-16,3533,嘉澤,1000,2020000,0.0
2026-07-16,6488,環球晶,1000,1370000,0.0
2026-07-16,2313,華通,1000,235500,0.0
2026-07-16,8150,南茂,1000,122500,0.0
2026-07-16,2317,鴻海,1000,242500,0.0
2026-07-16,5347,世界,1000,187500,0.0
2026-07-16,2481,強茂,5000,835000,0.0
