date,code,name,shares,amount,weight
2026-09-02,2330,台積電,11014000,26268390000,9.31
2026-09-02,2383,台光電,4750000,25863750000,9.17
2026-09-02,2454,聯發科,5088000,21751200000,7.71
2026-09-02,3037,欣興,20300000,19751900000,7.0
2026-09-02,3017,奇鋐,5949000,19691190000,6.98
2026-09-02,6669,緯穎,6490561,16940364210,6.0
2026-09-02,3653,健策,2397000,13830690000,4.9
2026-09-02,2345,智邦,6464000,13832960000,4.9
2026-09-02,2327,國巨*,24987000,13492980000,4.78
2026-09-02,6223,旺矽,2476000,13098040000,4.64
2026-09-02,2308,台達電,7240000,12525200000,4.44
2026-09-02,8046,南電,9474000,11368800000,4.03
2026-09-02,2303,聯電,89118000,11228868000,3.98
2026-09-02,3665,貿聯-KY,4591848,9964310160,3.53
2026-09-02,3711,日月光投控,16811000,9901679000,3.51
2026-09-02,6274,台燿,5398000,7611180000,2.7
2026-09-02,5274,信驊,207900,3685027500,1.31
2026-09-02,6805,富世達,1731000,3652410000,1.29
2026-09-02,2449,京元電子,12818450,3467390725,1.23
2026-09-02,8210,勤誠,2427000,2349336000,0.83
2026-09-02,3443,創意,325000,1915875000,0.68
2026-09-02,6510,精測,561000,1927035000,0.68
2026-09-02,4979,華星光,2838000,1770912000,0.63
2026-09-02,2368,金像電,1457000,1711975000,0.61
2026-09-02,8996,高力,1300000,1644500000,0.58
2026-09-02,3264,欣銓,5028000,1174038000,0.42
2026-09-02,4958,臻鼎-KY,2157000,1093599000,0.39
2026-09-02,6278,台表科,3248000,647976000,0.23
2026-09-02,6271,同欣電,2222000,495506000,0.18
2026-09-02,3376,新日興,1740000,361920000,0.13
2026-09-02,6515,穎崴,54000,380700000,0.13
2026-09-02,6191,精成科,3988000,332998000,0.12
2026-09-02,2313,華通,501000,124749000,0.04
2026-09-02,2002,中鋼,5163000,98355150,0.03
2026-09-02,8358,金居,1000,503000,0.0
2026-09-02,3661,世芯-KY,1000,4200000,0.0
2026-09-02,2439,美律,1000,78300,0.0
2026-09-02,1590,亞德客-KY,1000,1395000,0.0
2026-09-02,3008,大立光,1000,7810000,0.0
2026-09-02,2382,廣達,1000,337000,0.0
2026-09-02,6187,萬潤,1000,1340000,0.0
2026-09-02,2408,南亞科,1000,518000,0.0
2026-09-02,2637,慧洋-KY,1000,96300,0.0
2026-09-02,2360,致茂,1000,1975000,0.0
2026-09-02,6488,環球晶,1000,967000,0.0
2026-09-02,4966,譜瑞-KY,1000,579000,0.0
2026-09-02,8150,南茂,1000,90200,0.0
2026-09-02,2317,鴻海,1000,251000,0.0
2026-09-02,5347,世界,1000,149500,0.0
2026-09-02,2481,強茂,5000,740000,0.0
