date,code,name,shares,amount,weight
2026-07-08,2330,台積電,11960000,29481400000,10.78
2026-07-08,2383,台光電,4597000,24433055000,8.94
2026-07-08,2327,國巨*,25098000,22362318000,8.18
2026-07-08,2454,聯發科,5131000,20498345000,7.5
2026-07-08,6223,旺矽,2443000,15781780000,5.77
2026-07-08,2345,智邦,6334000,15296610000,5.59
2026-07-08,2303,聯電,86550000,14107650000,5.16
2026-07-08,3037,欣興,15203000,13120189000,4.8
2026-07-08,6669,緯穎,2417000,12205850000,4.46
2026-07-08,3017,奇鋐,5191000,12069075000,4.41
2026-07-08,8046,南電,8949000,9888645000,3.62
2026-07-08,2368,金像電,8315000,9562250000,3.5
2026-07-08,2308,台達電,5052000,9523020000,3.48
2026-07-08,3665,貿聯-KY,4833848,9184311200,3.36
2026-07-08,6274,台燿,5160000,8488200000,3.1
2026-07-08,3711,日月光投控,12742000,7963750000,2.91
2026-07-08,3653,健策,2267000,7254400000,2.65
2026-07-08,5274,信驊,416900,5826177500,2.13
2026-07-08,8210,勤誠,2267000,2709065000,0.99
2026-07-08,6805,富世達,1811000,2526345000,0.92
2026-07-08,6515,穎崴,204000,1571820000,0.57
2026-07-08,6187,萬潤,1334000,1273970000,0.47
2026-07-08,6147,頎邦,6275000,1251862500,0.46
2026-07-08,5439,高技,3528000,1192464000,0.44
2026-07-08,6510,精測,411000,1167240000,0.43
2026-07-08,6278,台表科,4334000,866800000,0.32
2026-07-08,6271,同欣電,2966000,756330000,0.28
2026-07-08,1590,亞德客-KY,528000,710160000,0.26
2026-07-08,2449,京元電子,1886000,576173000,0.21
2026-07-08,6191,精成科,3988000,420734000,0.15
2026-07-08,3264,欣銓,1508000,349856000,0.13
2026-07-08,3376,新日興,1741000,342977000,0.13
2026-07-08,2002,中鋼,5163000,96548100,0.04
2026-07-08,4966,譜瑞-KY,140000,92680000,0.03
2026-07-08,6488,環球晶,50000,61500000,0.02
2026-07-08,8996,高力,1000,1320000,0.0
2026-07-08,8358,金居,1000,523000,0.0
2026-07-08,3661,世芯-KY,1000,4065000,0.0
2026-07-08,1815,富喬,107000,10336200,0.0
2026-07-08,3443,創意,1000,4400000,0.0
2026-07-08,2439,美律,1000,89300,0.0
2026-07-08,3008,大立光,1000,3950000,0.0
2026-07-08,4958,臻鼎-KY,1000,565000,0.0
2026-07-08,2382,廣達,1000,377000,0.0
2026-07-08,3533,嘉澤,1000,1990000,0.0
2026-07-08,2313,華通,1000,224000,0.0
2026-07-08,8150,南茂,1000,106500,0.0
2026-07-08,2317,鴻海,1000,237500,0.0
2026-07-08,5347,世界,1000,176500,0.0
2026-07-08,2481,強茂,5000,1057500,0.0
