date,code,name,shares,amount,weight
2026-06-04,2330,台積電,11960000,28524600000,10.03
2026-06-04,2383,台光電,4486000,21667380000,7.62
2026-06-04,2454,聯發科,4263000,18885090000,6.64
2026-06-04,2308,台達電,6572000,15937100000,5.6
2026-06-04,2345,智邦,6231000,15639810000,5.5
2026-06-04,3017,奇鋐,5191000,14067610000,4.95
2026-06-04,2327,國巨*,18313000,13606559000,4.79
2026-06-04,6669,緯穎,2437000,13574090000,4.77
2026-06-04,6223,旺矽,2169000,13165830000,4.63
2026-06-04,3037,欣興,12466000,12104486000,4.26
2026-06-04,3711,日月光投控,17948000,10643164000,3.74
2026-06-04,2368,金像電,7769000,10488150000,3.69
2026-06-04,3665,貿聯-KY,4703848,10136792440,3.56
2026-06-04,8046,南電,10828000,9506984000,3.34
2026-06-04,2303,聯電,71690000,8961250000,3.15
2026-06-04,3653,健策,2267000,8455910000,2.97
2026-06-04,5274,信驊,422000,7707830000,2.71
2026-06-04,6274,台燿,4400000,7458000000,2.62
2026-06-04,6515,穎崴,442000,3823300000,1.34
2026-06-04,6805,富世達,1761000,3495585000,1.23
2026-06-04,6510,精測,930000,3259650000,1.15
2026-06-04,8210,勤誠,2167000,3077140000,1.08
2026-06-04,2382,廣達,5441000,2198164000,0.77
2026-06-04,2317,鴻海,7307000,2140951000,0.75
2026-06-04,3533,嘉澤,852000,2044800000,0.72
2026-06-04,6147,頎邦,5775000,1565025000,0.55
2026-06-04,6187,萬潤,1334000,1487410000,0.52
2026-06-04,2404,漢唐,1200000,1476000000,0.52
2026-06-04,5439,高技,3528000,1291248000,0.45
2026-06-04,4966,譜瑞-KY,1642000,1241352000,0.44
2026-06-04,8996,高力,1034000,1158080000,0.41
2026-06-04,2449,京元電子,3645000,1173690000,0.41
2026-06-04,8150,南茂,11635000,1153028500,0.41
2026-06-04,6278,台表科,3734000,791608000,0.28
2026-06-04,3443,創意,167000,734800000,0.26
2026-06-04,1590,亞德客-KY,530000,694300000,0.24
2026-06-04,3008,大立光,161000,615825000,0.22
2026-06-04,8358,金居,980000,553700000,0.19
2026-06-04,6191,精成科,3988000,391621600,0.14
2026-06-04,3376,新日興,1741000,375185500,0.13
2026-06-04,6271,同欣電,686000,167041000,0.06
2026-06-04,2002,中鋼,5163000,99387750,0.03
2026-06-04,2313,華通,329000,87349500,0.03
2026-06-04,1319,東陽,511000,49311500,0.02
2026-06-04,3264,欣銓,1000,236500,0.0
2026-06-04,3661,世芯-KY,1000,4340000,0.0
2026-06-04,1815,富喬,107000,11128000,0.0
2026-06-04,2439,美律,18000,1666800,0.0
2026-06-04,5347,世界,1000,163000,0.0
2026-06-04,2481,強茂,5000,797500,0.0
