date,code,name,shares,amount,weight
2026-09-11,2330,台積電,11864000,28592240000,10.27
2026-09-11,2383,台光電,4750000,25483750000,9.16
2026-09-11,2454,聯發科,5186000,23777810000,8.54
2026-09-11,3017,奇鋐,5949000,20048130000,7.2
2026-09-11,3037,欣興,20300000,19833100000,7.13
2026-09-11,6669,緯穎,6490561,14993195910,5.39
2026-09-11,6223,旺矽,2546000,14308520000,5.14
2026-09-11,3653,健策,2477000,14279905000,5.13
2026-09-11,2327,國巨*,24987000,13592928000,4.88
2026-09-11,2303,聯電,89118000,12521079000,4.5
2026-09-11,2345,智邦,6464000,12184640000,4.38
2026-09-11,2308,台達電,7240000,11728800000,4.21
2026-09-11,3711,日月光投控,16811000,10389198000,3.73
2026-09-11,8046,南電,9426000,10180080000,3.66
2026-09-11,3665,貿聯-KY,4280848,8026590000,2.88
2026-09-11,6274,台燿,5398000,7368270000,2.65
2026-09-11,6805,富世達,1731000,3721650000,1.34
2026-09-11,5274,信驊,207900,3718291500,1.34
2026-09-11,2449,京元電子,12818450,3371252350,1.21
2026-09-11,3443,創意,372000,2276640000,0.82
2026-09-11,6510,精測,637000,2216760000,0.8
2026-09-11,8210,勤誠,1516000,1364400000,0.49
2026-09-11,4958,臻鼎-KY,2712000,1342440000,0.48
2026-09-11,3264,欣銓,5028000,1158954000,0.42
2026-09-11,8996,高力,700000,931000000,0.33
2026-09-11,6515,穎崴,95000,654550000,0.24
2026-09-11,6278,台表科,3248000,605752000,0.22
2026-09-11,6271,同欣電,2222000,488840000,0.18
2026-09-11,6191,精成科,3988000,328212400,0.12
2026-09-11,3376,新日興,1740000,318420000,0.11
2026-09-11,2368,金像電,219000,225570000,0.08
2026-09-11,2002,中鋼,5163000,97580700,0.04
2026-09-11,2313,華通,501000,110971500,0.04
2026-09-11,8358,金居,1000,485000,0.0
2026-09-11,3661,世芯-KY,1000,3650000,0.0
2026-09-11,2439,美律,1000,76500,0.0
2026-09-11,1590,亞德客-KY,1000,1285000,0.0
2026-09-11,3008,大立光,1000,6660000,0.0
2026-09-11,2382,廣達,1000,336500,0.0
2026-09-11,6187,萬潤,1000,1250000,0.0
2026-09-11,4979,華星光,1000,531000,0.0
2026-09-11,2408,南亞科,1000,493000,0.0
2026-09-11,2637,慧洋-KY,1000,101000,0.0
2026-09-11,2360,致茂,1000,2160000,0.0
2026-09-11,6488,環球晶,1000,902000,0.0
2026-09-11,4966,譜瑞-KY,1000,528000,0.0
2026-09-11,8150,南茂,1000,86700,0.0
2026-09-11,2317,鴻海,1000,248000,0.0
2026-09-11,5347,世界,1000,157500,0.0
2026-09-11,2481,強茂,5000,750000,0.0
