date,code,name,shares,amount,weight
2026-09-08,2330,台積電,11864000,29304080000,10.38
2026-09-08,2383,台光電,4750000,25365000000,8.98
2026-09-08,2454,聯發科,5186000,24426060000,8.65
2026-09-08,3017,奇鋐,5949000,19542465000,6.92
2026-09-08,3037,欣興,20300000,19366200000,6.86
2026-09-08,6669,緯穎,6490561,15187912740,5.38
2026-09-08,6223,旺矽,2546000,14754070000,5.23
2026-09-08,2327,國巨*,24987000,14167629000,5.02
2026-09-08,3653,健策,2447000,13580850000,4.81
2026-09-08,2308,台達電,7240000,13068200000,4.63
2026-09-08,2345,智邦,6464000,12637120000,4.48
2026-09-08,2303,聯電,89118000,12209166000,4.32
2026-09-08,3711,日月光投控,16811000,10389198000,3.68
2026-09-08,8046,南電,9426000,9661650000,3.42
2026-09-08,3665,貿聯-KY,4280848,8283440880,2.93
2026-09-08,6274,台燿,5398000,7260310000,2.57
2026-09-08,5274,信驊,207900,3995838000,1.42
2026-09-08,6805,富世達,1731000,3730305000,1.32
2026-09-08,2449,京元電子,12818450,3441753825,1.22
2026-09-08,6510,精測,637000,2305940000,0.82
2026-09-08,3443,創意,372000,2217120000,0.79
2026-09-08,8210,勤誠,1902000,1725114000,0.61
2026-09-08,4958,臻鼎-KY,2712000,1369560000,0.49
2026-09-08,3264,欣銓,5028000,1131300000,0.4
2026-09-08,8996,高力,745000,912625000,0.32
2026-09-08,6515,穎崴,95000,731500000,0.26
2026-09-08,6278,台表科,3248000,612248000,0.22
2026-09-08,4979,華星光,924000,559020000,0.2
2026-09-08,6271,同欣電,2222000,495506000,0.18
2026-09-08,3376,新日興,1740000,354090000,0.13
2026-09-08,6191,精成科,3988000,325819600,0.12
2026-09-08,2368,金像電,219000,235425000,0.08
2026-09-08,2313,華通,501000,115731000,0.04
2026-09-08,2002,中鋼,5163000,98613300,0.03
2026-09-08,8358,金居,1000,520000,0.0
2026-09-08,3661,世芯-KY,1000,4030000,0.0
2026-09-08,2439,美律,1000,76100,0.0
2026-09-08,1590,亞德客-KY,1000,1335000,0.0
2026-09-08,3008,大立光,1000,6500000,0.0
2026-09-08,2382,廣達,1000,328000,0.0
2026-09-08,6187,萬潤,1000,1385000,0.0
2026-09-08,2408,南亞科,1000,531000,0.0
2026-09-08,2637,慧洋-KY,1000,98100,0.0
2026-09-08,2360,致茂,1000,2265000,0.0
2026-09-08,6488,環球晶,1000,955000,0.0
2026-09-08,4966,譜瑞-KY,1000,547000,0.0
2026-09-08,8150,南茂,1000,90300,0.0
2026-09-08,2317,鴻海,1000,251500,0.0
2026-09-08,5347,世界,1000,152000,0.0
2026-09-08,2481,強茂,5000,762500,0.0
