date,code,name,shares,amount,weight
2026-07-03,2330,台積電,11960000,29242200000,9.89
2026-07-03,2383,台光電,4486000,27274880000,9.22
2026-07-03,2327,國巨*,25098000,26227410000,8.87
2026-07-03,2454,聯發科,5037000,21130215000,7.14
2026-07-03,6223,旺矽,2382000,17579160000,5.94
2026-07-03,2345,智邦,6334000,17323490000,5.86
2026-07-03,2303,聯電,86550000,14756775000,4.99
2026-07-03,3037,欣興,15203000,14731707000,4.98
2026-07-03,3017,奇鋐,5191000,14327160000,4.84
2026-07-03,6669,緯穎,2417000,12725505000,4.3
2026-07-03,2368,金像電,8315000,10851075000,3.67
2026-07-03,8046,南電,8949000,10604565000,3.59
2026-07-03,2308,台達電,5052000,10482900000,3.54
2026-07-03,3665,貿聯-KY,4833848,9643526760,3.26
2026-07-03,6274,台燿,5160000,9236400000,3.12
2026-07-03,3711,日月光投控,12742000,8690044000,2.94
2026-07-03,3653,健策,2267000,7753140000,2.62
2026-07-03,5274,信驊,379000,6543435000,2.21
2026-07-03,6805,富世達,1811000,2951930000,1.0
2026-07-03,8210,勤誠,2267000,2958435000,1.0
2026-07-03,6515,穎崴,226000,2237400000,0.76
2026-07-03,6187,萬潤,1334000,1374020000,0.46
2026-07-03,6147,頎邦,6275000,1352262500,0.46
2026-07-03,6510,精測,411000,1364520000,0.46
2026-07-03,5439,高技,3528000,1238328000,0.42
2026-07-03,2449,京元電子,3427000,1148045000,0.39
2026-07-03,6278,台表科,4334000,918808000,0.31
2026-07-03,6271,同欣電,2966000,827514000,0.28
2026-07-03,1590,亞德客-KY,530000,763200000,0.26
2026-07-03,6191,精成科,3988000,430704000,0.15
2026-07-03,3264,欣銓,1508000,372476000,0.13
2026-07-03,3376,新日興,1741000,356034500,0.12
2026-07-03,4966,譜瑞-KY,140000,91560000,0.03
2026-07-03,2002,中鋼,5163000,97838850,0.03
2026-07-03,6488,環球晶,50000,62750000,0.02
2026-07-03,8996,高力,1000,1380000,0.0
2026-07-03,8358,金居,1000,590000,0.0
2026-07-03,3661,世芯-KY,1000,4650000,0.0
2026-07-03,1815,富喬,107000,10860500,0.0
2026-07-03,3443,創意,1000,5040000,0.0
2026-07-03,2439,美律,1000,92200,0.0
2026-07-03,3008,大立光,1000,4230000,0.0
2026-07-03,4958,臻鼎-KY,1000,613000,0.0
2026-07-03,2382,廣達,1000,377000,0.0
2026-07-03,3533,嘉澤,1000,2175000,0.0
2026-07-03,2313,華通,1000,229500,0.0
2026-07-03,8150,南茂,1000,105000,0.0
2026-07-03,2317,鴻海,1000,240500,0.0
2026-07-03,5347,世界,1000,193500,0.0
2026-07-03,2481,強茂,5000,1035000,0.0
