date,code,name,shares,amount,weight
2026-07-01,2330,台積電,11960000,29959800000,10.11
2026-07-01,2327,國巨*,25098000,28611720000,9.66
2026-07-01,2383,台光電,4486000,24830010000,8.38
2026-07-01,2454,聯發科,5037000,21835395000,7.37
2026-07-01,2345,智邦,6334000,16848440000,5.69
2026-07-01,6223,旺矽,2382000,15947490000,5.38
2026-07-01,3037,欣興,15203000,15811120000,5.34
2026-07-01,2303,聯電,86550000,14626950000,4.94
2026-07-01,3017,奇鋐,5191000,13600420000,4.59
2026-07-01,6669,緯穎,2417000,12169595000,4.11
2026-07-01,2308,台達電,5614000,11171860000,3.77
2026-07-01,8046,南電,8949000,10515075000,3.55
2026-07-01,2368,金像電,8315000,10144300000,3.42
2026-07-01,3665,貿聯-KY,4833848,9716034480,3.28
2026-07-01,3711,日月光投控,12742000,8957626000,3.02
2026-07-01,6274,台燿,5160000,8720400000,2.94
2026-07-01,3653,健策,2267000,7707800000,2.6
2026-07-01,5274,信驊,379000,6497955000,2.19
2026-07-01,6805,富世達,1811000,3078700000,1.04
2026-07-01,8210,勤誠,2267000,2935765000,0.99
2026-07-01,6515,穎崴,252000,2240280000,0.76
2026-07-01,6510,精測,636000,2089260000,0.71
2026-07-01,6187,萬潤,1334000,1420710000,0.48
2026-07-01,6147,頎邦,6275000,1374225000,0.46
2026-07-01,2449,京元電子,3808000,1260448000,0.43
2026-07-01,5439,高技,3528000,1116612000,0.38
2026-07-01,6278,台表科,4334000,897138000,0.3
2026-07-01,3533,嘉澤,416000,898560000,0.3
2026-07-01,6271,同欣電,2966000,852725000,0.29
2026-07-01,1590,亞德客-KY,530000,728750000,0.25
2026-07-01,6191,精成科,3988000,412758000,0.14
2026-07-01,6488,環球晶,350000,386750000,0.13
2026-07-01,3264,欣銓,1508000,349856000,0.12
2026-07-01,3376,新日興,1741000,339495000,0.11
2026-07-01,8358,金居,490000,287630000,0.1
2026-07-01,4966,譜瑞-KY,140000,87220000,0.03
2026-07-01,2002,中鋼,5163000,96289950,0.03
2026-07-01,8996,高力,1000,1555000,0.0
2026-07-01,3661,世芯-KY,1000,4450000,0.0
2026-07-01,1815,富喬,107000,11128000,0.0
2026-07-01,3443,創意,1000,5045000,0.0
2026-07-01,2439,美律,1000,89500,0.0
2026-07-01,3008,大立光,1000,4330000,0.0
2026-07-01,4958,臻鼎-KY,1000,603000,0.0
2026-07-01,2382,廣達,1000,372000,0.0
2026-07-01,2313,華通,1000,220000,0.0
2026-07-01,8150,南茂,1000,107000,0.0
2026-07-01,2317,鴻海,1000,248000,0.0
2026-07-01,5347,世界,1000,204500,0.0
2026-07-01,2481,強茂,5000,972500,0.0
