date,code,name,shares,amount,weight
2026-05-29,2330,台積電,11960000,28165800000,9.85
2026-05-29,2383,台光電,4723000,24181760000,8.45
2026-05-29,2454,聯發科,4263000,18373530000,6.42
2026-05-29,2308,台達電,6572000,16068540000,5.62
2026-05-29,2345,智邦,6231000,15141330000,5.29
2026-05-29,3017,奇鋐,5191000,13834015000,4.84
2026-05-29,2327,國巨*,18313000,13514994000,4.72
2026-05-29,6669,緯穎,2437000,13269465000,4.64
2026-05-29,3037,欣興,12466000,13151630000,4.6
2026-05-29,6223,旺矽,2169000,12927240000,4.52
2026-05-29,3711,日月光投控,17948000,10966228000,3.83
2026-05-29,2303,聯電,71190000,10286955000,3.6
2026-05-29,2368,金像電,7769000,10255080000,3.59
2026-05-29,3665,貿聯-KY,4703848,9807523080,3.43
2026-05-29,8046,南電,10828000,9182144000,3.21
2026-05-29,3653,健策,2267000,8036515000,2.81
2026-05-29,5274,信驊,422000,7996900000,2.8
2026-05-29,6274,台燿,4400000,7436000000,2.6
2026-05-29,6515,穎崴,442000,3829930000,1.34
2026-05-29,6805,富世達,1761000,3398730000,1.19
2026-05-29,8210,勤誠,2167000,2957955000,1.03
2026-05-29,6510,精測,930000,2920200000,1.02
2026-05-29,3533,嘉澤,852000,2257800000,0.79
2026-05-29,2317,鴻海,7307000,2111723000,0.74
2026-05-29,2404,漢唐,1715000,1980825000,0.69
2026-05-29,2449,京元電子,5208000,1710828000,0.6
2026-05-29,3264,欣銓,6217000,1513839500,0.53
2026-05-29,6187,萬潤,1334000,1494080000,0.52
2026-05-29,6147,頎邦,4631000,1414770500,0.49
2026-05-29,4966,譜瑞-KY,1642000,1369428000,0.48
2026-05-29,5439,高技,3528000,1351224000,0.47
2026-05-29,8150,南茂,11635000,1314755000,0.46
2026-05-29,8358,金居,1980000,1203840000,0.42
2026-05-29,3008,大立光,329000,1156435000,0.4
2026-05-29,8996,高力,1034000,1127060000,0.39
2026-05-29,2382,廣達,2491000,844449000,0.3
2026-05-29,6278,台表科,3734000,825214000,0.29
2026-05-29,1590,亞德客-KY,530000,742000000,0.26
2026-05-29,3443,創意,96000,448320000,0.16
2026-05-29,6191,精成科,3988000,386836000,0.14
2026-05-29,3376,新日興,1741000,352552500,0.12
2026-05-29,6271,同欣電,686000,169442000,0.06
2026-05-29,2002,中鋼,5163000,98613300,0.03
2026-05-29,2313,華通,329000,93600500,0.03
2026-05-29,1319,東陽,511000,48596100,0.02
2026-05-29,2357,華碩,1000,761000,0.0
2026-05-29,3661,世芯-KY,1000,4415000,0.0
2026-05-29,1815,富喬,107000,11342000,0.0
2026-05-29,2439,美律,18000,1652400,0.0
2026-05-29,5347,世界,1000,168000,0.0
2026-05-29,2481,強茂,5000,812500,0.0
