date,code,name,shares,amount,weight
2026-09-14,2330,台積電,11864000,28236320000,10.18
2026-09-14,2383,台光電,4750000,25388750000,9.15
2026-09-14,2454,聯發科,5186000,23648160000,8.53
2026-09-14,3017,奇鋐,5949000,19691190000,7.1
2026-09-14,3037,欣興,20300000,19691000000,7.1
2026-09-14,6669,緯穎,6490561,14733573470,5.31
2026-09-14,3653,健策,2512000,14619840000,5.27
2026-09-14,6223,旺矽,2546000,14244870000,5.14
2026-09-14,2327,國巨*,24987000,13617915000,4.91
2026-09-14,2303,聯電,89118000,12699315000,4.58
2026-09-14,2345,智邦,6464000,12120000000,4.37
2026-09-14,2308,台達電,7240000,11728800000,4.23
2026-09-14,3711,日月光投控,16811000,10288332000,3.71
2026-09-14,8046,南電,9426000,9944430000,3.59
2026-09-14,3665,貿聯-KY,4280848,8369057840,3.02
2026-09-14,6274,台燿,5398000,7611180000,2.74
2026-09-14,6805,富世達,1731000,3747615000,1.35
2026-09-14,5274,信驊,207900,3738042000,1.35
2026-09-14,2449,京元電子,12818450,3352024675,1.21
2026-09-14,3443,創意,413000,2643200000,0.95
2026-09-14,6510,精測,446000,1505250000,0.54
2026-09-14,4958,臻鼎-KY,2712000,1327524000,0.48
2026-09-14,8210,勤誠,1516000,1343176000,0.48
2026-09-14,3264,欣銓,5028000,1143870000,0.41
2026-09-14,6515,穎崴,95000,627000000,0.23
2026-09-14,6278,台表科,3248000,602504000,0.22
2026-09-14,8996,高力,485000,598975000,0.22
2026-09-14,6271,同欣電,2222000,488840000,0.18
2026-09-14,6191,精成科,3988000,327016000,0.12
2026-09-14,3376,新日興,1740000,314940000,0.11
2026-09-14,2368,金像電,219000,223380000,0.08
2026-09-14,2313,華通,501000,110721000,0.04
2026-09-14,2002,中鋼,5163000,97064400,0.03
2026-09-14,8358,金居,1000,518000,0.0
2026-09-14,3661,世芯-KY,1000,3590000,0.0
2026-09-14,2439,美律,1000,77300,0.0
2026-09-14,1590,亞德客-KY,1000,1270000,0.0
2026-09-14,3008,大立光,1000,5995000,0.0
2026-09-14,2382,廣達,1000,332500,0.0
2026-09-14,6187,萬潤,1000,1225000,0.0
2026-09-14,4979,華星光,1000,547000,0.0
2026-09-14,2408,南亞科,1000,473000,0.0
2026-09-14,2637,慧洋-KY,1000,101000,0.0
2026-09-14,2360,致茂,1000,2140000,0.0
2026-09-14,6488,環球晶,1000,900000,0.0
2026-09-14,4966,譜瑞-KY,1000,537000,0.0
2026-09-14,8150,南茂,1000,86600,0.0
2026-09-14,2317,鴻海,1000,248500,0.0
2026-09-14,5347,世界,1000,159500,0.0
2026-09-14,2481,強茂,5000,795000,0.0
