date,code,name,shares,amount,weight
2026-08-12,2330,台積電,12134000,29303610000,9.54
2026-08-12,2383,台光電,4863000,27864990000,9.07
2026-08-12,2454,聯發科,5448000,21873720000,7.12
2026-08-12,3037,欣興,20210000,20210000000,6.58
2026-08-12,3017,奇鋐,5900000,17169000000,5.59
2026-08-12,6223,旺矽,2443000,16123800000,5.25
2026-08-12,2327,國巨*,25437000,15313074000,4.99
2026-08-12,6669,緯穎,2496000,15038400000,4.9
2026-08-12,2345,智邦,6419000,14218085000,4.63
2026-08-12,2308,台達電,7070000,12655300000,4.12
2026-08-12,8046,南電,9634000,12187010000,3.97
2026-08-12,3711,日月光投控,19529000,12127509000,3.95
2026-08-12,2303,聯電,87718000,10789314000,3.51
2026-08-12,3653,健策,2375000,10616250000,3.46
2026-08-12,3665,貿聯-KY,4616848,9949307440,3.24
2026-08-12,6274,台燿,5499000,8798400000,2.87
2026-08-12,5274,信驊,484900,8422713000,2.74
2026-08-12,6805,富世達,2265000,4156275000,1.35
2026-08-12,2368,金像電,4000000,4000000000,1.3
2026-08-12,2449,京元電子,11295450,2925521550,0.95
2026-08-12,8210,勤誠,2497000,2509485000,0.82
2026-08-12,6187,萬潤,1334000,1540770000,0.5
2026-08-12,4979,華星光,2424000,1359864000,0.44
2026-08-12,2360,致茂,622000,1365290000,0.44
2026-08-12,6510,精測,478000,1350350000,0.44
2026-08-12,8996,高力,802000,938340000,0.31
2026-08-12,4958,臻鼎-KY,1682000,793063000,0.26
2026-08-12,3264,欣銓,3080000,666820000,0.22
2026-08-12,6278,台表科,3250000,555750000,0.18
2026-08-12,6271,同欣電,2224000,440352000,0.14
2026-08-12,6191,精成科,3988000,347354800,0.11
2026-08-12,3376,新日興,1741000,334272000,0.11
2026-08-12,6515,穎崴,23000,164910000,0.05
2026-08-12,4966,譜瑞-KY,140000,82740000,0.03
2026-08-12,2002,中鋼,5163000,101969250,0.03
2026-08-12,8358,金居,1000,418500,0.0
2026-08-12,3661,世芯-KY,1000,4055000,0.0
2026-08-12,3443,創意,1000,5130000,0.0
2026-08-12,2439,美律,1000,81100,0.0
2026-08-12,1590,亞德客-KY,1000,1595000,0.0
2026-08-12,3008,大立光,1000,4585000,0.0
2026-08-12,2382,廣達,1000,325500,0.0
2026-08-12,3533,嘉澤,1000,2010000,0.0
2026-08-12,2408,南亞科,1000,482500,0.0
2026-08-12,6488,環球晶,1000,933000,0.0
2026-08-12,2313,華通,1000,209000,0.0
2026-08-12,8150,南茂,1000,92200,0.0
2026-08-12,2317,鴻海,1000,270000,0.0
2026-08-12,5347,世界,1000,159500,0.0
2026-08-12,2481,強茂,5000,695000,0.0
