date,code,name,shares,amount,weight
2026-09-24,2330,台積電,11464000,28373400000,9.77
2026-09-24,2454,聯發科,5086000,26879510000,9.26
2026-09-24,3037,欣興,20100000,23818500000,8.2
2026-09-24,2383,台光電,4650000,23482500000,8.09
2026-09-24,3017,奇鋐,5889000,20935395000,7.21
2026-09-24,3653,健策,2502000,17313840000,5.96
2026-09-24,2327,國巨*,24757000,14359060000,4.95
2026-09-24,2308,台達電,7320000,13981200000,4.82
2026-09-24,6223,旺矽,2499000,13532085000,4.66
2026-09-24,2303,聯電,87118000,13416172000,4.62
2026-09-24,2345,智邦,6264000,11870280000,4.09
2026-09-24,8046,南電,8937000,11081880000,3.82
2026-09-24,6669,緯穎,4873561,10307581515,3.55
2026-09-24,3711,日月光投控,13966000,9762234000,3.36
2026-09-24,3665,貿聯-KY,3876848,9071824320,3.12
2026-09-24,6274,台燿,5886000,8799570000,3.03
2026-09-24,6805,富世達,1673000,4232690000,1.46
2026-09-24,2449,京元電子,12938450,4023857950,1.39
2026-09-24,5274,信驊,168900,3350131500,1.15
2026-09-24,3443,創意,388000,3307700000,1.14
2026-09-24,2368,金像電,1634000,1805570000,0.62
2026-09-24,4958,臻鼎-KY,3483000,1656166500,0.57
2026-09-24,3264,欣銓,4982000,1225572000,0.42
2026-09-24,8210,勤誠,1139000,1021683000,0.35
2026-09-24,6510,精測,251000,830810000,0.29
2026-09-24,8996,高力,476000,728280000,0.25
2026-09-24,6278,台表科,3193000,676916000,0.23
2026-09-24,6515,穎崴,93000,544050000,0.19
2026-09-24,6271,同欣電,2185000,500365000,0.17
2026-09-24,6191,精成科,3921000,322698300,0.11
2026-09-24,3376,新日興,1740000,302760000,0.1
2026-09-24,2313,華通,501000,111472500,0.04
2026-09-24,2002,中鋼,5163000,96289950,0.03
2026-09-24,8358,金居,1000,511000,0.0
2026-09-24,3661,世芯-KY,1000,3770000,0.0
2026-09-24,2439,美律,1000,78200,0.0
2026-09-24,1590,亞德客-KY,1000,1210000,0.0
2026-09-24,3008,大立光,1000,6245000,0.0
2026-09-24,2382,廣達,1000,338500,0.0
2026-09-24,6187,萬潤,1000,1195000,0.0
2026-09-24,4979,華星光,1000,563000,0.0
2026-09-24,2408,南亞科,1000,503000,0.0
2026-09-24,2637,慧洋-KY,1000,100500,0.0
2026-09-24,2360,致茂,1000,2295000,0.0
2026-09-24,6488,環球晶,1000,948000,0.0
2026-09-24,4966,譜瑞-KY,1000,572000,0.0
2026-09-24,8150,南茂,1000,112000,0.0
2026-09-24,2317,鴻海,1000,250500,0.0
2026-09-24,5347,世界,1000,170500,0.0
2026-09-24,2481,強茂,5000,872500,0.0
