date,code,name,shares,amount,weight
2026-08-31,2330,台積電,11014000,26488670000,9.38
2026-08-31,2383,台光電,4757000,26092145000,9.24
2026-08-31,3017,奇鋐,5949000,20375325000,7.21
2026-08-31,3037,欣興,20300000,20279700000,7.18
2026-08-31,2454,聯發科,5088000,19970400000,7.07
2026-08-31,6669,緯穎,2176000,15438720000,5.47
2026-08-31,3653,健策,2397000,14358030000,5.08
2026-08-31,2327,國巨*,24987000,13617915000,4.82
2026-08-31,2308,台達電,7240000,13321600000,4.72
2026-08-31,2345,智邦,6464000,13154240000,4.66
2026-08-31,6223,旺矽,2476000,12701880000,4.5
2026-08-31,8046,南電,9474000,11653020000,4.13
2026-08-31,2303,聯電,89118000,11496222000,4.07
2026-08-31,3711,日月光投控,18679000,10908536000,3.86
2026-08-31,3665,貿聯-KY,4591848,9964310160,3.53
2026-08-31,6274,台燿,5398000,7746130000,2.74
2026-08-31,6805,富世達,1731000,3989955000,1.41
2026-08-31,5274,信驊,207900,3339913500,1.18
2026-08-31,2449,京元電子,12818450,3294341650,1.17
2026-08-31,8210,勤誠,2427000,2351763000,0.83
2026-08-31,3443,創意,325000,1982500000,0.7
2026-08-31,4979,華星光,3173000,1932357000,0.68
2026-08-31,2368,金像電,1457000,1697405000,0.6
2026-08-31,8996,高力,1300000,1527500000,0.54
2026-08-31,3264,欣銓,5916000,1348848000,0.48
2026-08-31,6510,精測,477000,1357065000,0.48
2026-08-31,4958,臻鼎-KY,1644000,822000000,0.29
2026-08-31,6278,台表科,3248000,647976000,0.23
2026-08-31,6271,同欣電,2222000,471064000,0.17
2026-08-31,3376,新日興,1740000,372360000,0.13
2026-08-31,6191,精成科,3988000,333795600,0.12
2026-08-31,2313,華通,501000,124498500,0.04
2026-08-31,2002,中鋼,5163000,97838850,0.03
2026-08-31,8358,金居,1000,540000,0.0
2026-08-31,3661,世芯-KY,1000,4075000,0.0
2026-08-31,2439,美律,1000,78800,0.0
2026-08-31,1590,亞德客-KY,1000,1425000,0.0
2026-08-31,3008,大立光,1000,7650000,0.0
2026-08-31,2382,廣達,1000,338500,0.0
2026-08-31,6187,萬潤,8000,10760000,0.0
2026-08-31,2408,南亞科,1000,543000,0.0
2026-08-31,2637,慧洋-KY,1000,94100,0.0
2026-08-31,6515,穎崴,1000,6285000,0.0
2026-08-31,2360,致茂,1000,1960000,0.0
2026-08-31,6488,環球晶,1000,912000,0.0
2026-08-31,4966,譜瑞-KY,1000,578000,0.0
2026-08-31,8150,南茂,1000,89100,0.0
2026-08-31,2317,鴻海,1000,250000,0.0
2026-08-31,5347,世界,1000,151500,0.0
2026-08-31,2481,強茂,5000,755000,0.0
