date,code,name,shares,amount,weight
2026-06-17,2330,台積電,11960000,28524600000,9.77
2026-06-17,2383,台光電,4486000,23327200000,7.99
2026-06-17,2327,國巨*,23292000,22919328000,7.85
2026-06-17,2454,聯發科,4861000,21680060000,7.42
2026-06-17,2345,智邦,6334000,15803330000,5.41
2026-06-17,6223,旺矽,2279000,14631180000,5.01
2026-06-17,2308,台達電,6572000,14162660000,4.85
2026-06-17,6669,緯穎,2492000,12659360000,4.33
2026-06-17,3037,欣興,12466000,12316408000,4.22
2026-06-17,3017,奇鋐,5191000,12276715000,4.2
2026-06-17,2368,金像電,8315000,11391550000,3.9
2026-06-17,2303,聯電,77390000,10834600000,3.71
2026-06-17,3711,日月光投控,17948000,10679060000,3.66
2026-06-17,3665,貿聯-KY,4833848,10102742320,3.46
2026-06-17,8046,南電,10828000,9582780000,3.28
2026-06-17,3653,健策,2267000,9045330000,3.1
2026-06-17,6274,台燿,4927000,8228090000,2.82
2026-06-17,5274,信驊,422000,7800670000,2.67
2026-06-17,6515,穎崴,436000,4120200000,1.41
2026-06-17,6510,精測,930000,3292200000,1.13
2026-06-17,6805,富世達,1811000,3105865000,1.06
2026-06-17,8210,勤誠,2267000,3049115000,1.04
2026-06-17,2317,鴻海,7307000,1987504000,0.68
2026-06-17,3533,嘉澤,852000,1959600000,0.67
2026-06-17,8996,高力,1034000,1566510000,0.54
2026-06-17,6187,萬潤,1334000,1540770000,0.53
2026-06-17,6147,頎邦,6275000,1440112500,0.49
2026-06-17,3443,創意,258000,1309350000,0.45
2026-06-17,5439,高技,3528000,1141308000,0.39
2026-06-17,4966,譜瑞-KY,1642000,1108350000,0.38
2026-06-17,8150,南茂,11635000,1104161500,0.38
2026-06-17,2449,京元電子,3645000,1022422500,0.35
2026-06-17,4958,臻鼎-KY,1428000,912492000,0.31
2026-06-17,6278,台表科,4334000,886303000,0.3
2026-06-17,1590,亞德客-KY,530000,699600000,0.24
2026-06-17,8358,金居,980000,627200000,0.21
2026-06-17,6191,精成科,3988000,398800000,0.14
2026-06-17,6488,環球晶,350000,385000000,0.13
2026-06-17,3376,新日興,1741000,343847500,0.12
2026-06-17,6271,同欣電,1466000,329850000,0.11
2026-06-17,2002,中鋼,5163000,96806250,0.03
2026-06-17,2313,華通,329000,86856000,0.03
2026-06-17,3264,欣銓,1000,211500,0.0
2026-06-17,3661,世芯-KY,1000,4320000,0.0
2026-06-17,1815,富喬,107000,10165000,0.0
2026-06-17,2439,美律,18000,1670400,0.0
2026-06-17,3008,大立光,1000,5145000,0.0
2026-06-17,2382,廣達,1000,374000,0.0
2026-06-17,5347,世界,1000,166500,0.0
2026-06-17,2481,強茂,5000,727500,0.0
