date,code,name,shares,amount,weight
2026-06-18,2330,台積電,11960000,28823600000,9.68
2026-06-18,2327,國巨*,23892000,25803360000,8.67
2026-06-18,2383,台光電,4486000,25121600000,8.44
2026-06-18,2454,聯發科,4861000,21339790000,7.17
2026-06-18,2345,智邦,6334000,15423290000,5.18
2026-06-18,6223,旺矽,2279000,14619785000,4.91
2026-06-18,2308,台達電,6572000,14129800000,4.75
2026-06-18,6669,緯穎,2492000,12783960000,4.29
2026-06-18,3017,奇鋐,5191000,12458400000,4.18
2026-06-18,3037,欣興,12466000,12067088000,4.05
2026-06-18,2368,金像電,8315000,11266825000,3.78
2026-06-18,2303,聯電,77390000,11260245000,3.78
2026-06-18,3711,日月光投控,17948000,11002124000,3.7
2026-06-18,3665,貿聯-KY,4833848,10151080800,3.41
2026-06-18,8046,南電,10828000,9463672000,3.18
2026-06-18,6274,台燿,5058000,9281430000,3.12
2026-06-18,3653,健策,2267000,8988655000,3.02
2026-06-18,5274,信驊,422000,8001120000,2.69
2026-06-18,6515,穎崴,436000,4120200000,1.38
2026-06-18,6510,精測,930000,3357300000,1.13
2026-06-18,6805,富世達,1811000,3178305000,1.07
2026-06-18,8210,勤誠,2267000,3094455000,1.04
2026-06-18,2449,京元電子,6484000,2000314000,0.67
2026-06-18,3533,嘉澤,852000,1951080000,0.66
2026-06-18,2317,鴻海,7307000,1961929500,0.66
2026-06-18,8996,高力,1034000,1644060000,0.55
2026-06-18,6187,萬潤,1334000,1647490000,0.55
2026-06-18,6147,頎邦,6275000,1581300000,0.53
2026-06-18,3443,創意,258000,1253880000,0.42
2026-06-18,8150,南茂,11635000,1210040000,0.41
2026-06-18,5439,高技,3528000,1173060000,0.39
2026-06-18,4966,譜瑞-KY,1642000,1137906000,0.38
2026-06-18,4958,臻鼎-KY,1428000,916776000,0.31
2026-06-18,6278,台表科,4334000,886303000,0.3
2026-06-18,1590,亞德客-KY,530000,731400000,0.25
2026-06-18,8358,金居,980000,686000000,0.23
2026-06-18,6271,同欣電,1966000,476755000,0.16
2026-06-18,6191,精成科,3988000,400794000,0.13
2026-06-18,6488,環球晶,350000,388500000,0.13
2026-06-18,3264,欣銓,1508000,350610000,0.12
2026-06-18,3376,新日興,1741000,356905000,0.12
2026-06-18,2002,中鋼,5163000,98613300,0.03
2026-06-18,2313,華通,329000,85375500,0.03
2026-06-18,3661,世芯-KY,1000,4380000,0.0
2026-06-18,1815,富喬,107000,10496700,0.0
2026-06-18,2439,美律,18000,1663200,0.0
2026-06-18,3008,大立光,1000,5195000,0.0
2026-06-18,2382,廣達,1000,376000,0.0
2026-06-18,5347,世界,1000,174500,0.0
2026-06-18,2481,強茂,5000,800000,0.0
