date,code,name,shares,amount,weight
2026-06-22,2330,台積電,11960000,30019600000,10.0
2026-06-22,2383,台光電,4486000,26130950000,8.71
2026-06-22,2327,國巨*,23892000,25444980000,8.48
2026-06-22,2454,聯發科,4861000,21704365000,7.23
2026-06-22,2345,智邦,6334000,16436730000,5.48
2026-06-22,6223,旺矽,2279000,14642575000,4.88
2026-06-22,2308,台達電,6222000,13377300000,4.46
2026-06-22,3037,欣興,13307000,13373535000,4.46
2026-06-22,3017,奇鋐,5191000,12562220000,4.18
2026-06-22,2303,聯電,77390000,12382400000,4.12
2026-06-22,6669,緯穎,2492000,12098660000,4.03
2026-06-22,3711,日月光投控,17948000,12096952000,4.03
2026-06-22,2368,金像電,8315000,11599425000,3.86
2026-06-22,3665,貿聯-KY,4833848,9619357520,3.2
2026-06-22,6274,台燿,5058000,9610200000,3.2
2026-06-22,3653,健策,2267000,8705280000,2.9
2026-06-22,5274,信驊,422000,8134050000,2.71
2026-06-22,8046,南電,8917000,7704288000,2.57
2026-06-22,6805,富世達,1811000,3296020000,1.1
2026-06-22,6515,穎崴,348000,3292080000,1.1
2026-06-22,6510,精測,930000,3278250000,1.09
2026-06-22,8210,勤誠,2267000,3105790000,1.03
2026-06-22,2449,京元電子,6484000,2198076000,0.73
2026-06-22,3533,嘉澤,852000,1972380000,0.66
2026-06-22,2317,鴻海,7307000,1961929500,0.65
2026-06-22,6147,頎邦,6275000,1738175000,0.58
2026-06-22,6187,萬潤,1334000,1680840000,0.56
2026-06-22,8150,南茂,11635000,1326390000,0.44
2026-06-22,5439,高技,3528000,1185408000,0.39
2026-06-22,4966,譜瑞-KY,1642000,1141190000,0.38
2026-06-22,6278,台表科,4334000,892804000,0.3
2026-06-22,6271,同欣電,2966000,790439000,0.26
2026-06-22,1590,亞德客-KY,530000,739350000,0.25
2026-06-22,8358,金居,980000,677180000,0.23
2026-06-22,8996,高力,354000,550470000,0.18
2026-06-22,6191,精成科,3988000,412758000,0.14
2026-06-22,6488,環球晶,350000,390250000,0.13
2026-06-22,3264,欣銓,1508000,364936000,0.12
2026-06-22,3376,新日興,1741000,363869000,0.12
2026-06-22,2002,中鋼,5163000,100678500,0.03
2026-06-22,3661,世芯-KY,1000,4325000,0.0
2026-06-22,1815,富喬,107000,11395500,0.0
2026-06-22,3443,創意,1000,4755000,0.0
2026-06-22,2439,美律,18000,1670400,0.0
2026-06-22,3008,大立光,1000,5185000,0.0
2026-06-22,4958,臻鼎-KY,1000,622000,0.0
2026-06-22,2382,廣達,1000,380000,0.0
2026-06-22,2313,華通,1000,259500,0.0
2026-06-22,5347,世界,1000,191500,0.0
2026-06-22,2481,強茂,5000,880000,0.0
