date,code,name,shares,amount,weight
2026-08-21,2330,台積電,11884000,28640440000,10.16
2026-08-21,2383,台光電,4843000,27508240000,9.76
2026-08-21,3037,欣興,20300000,22025500000,7.82
2026-08-21,2454,聯發科,5148000,19510920000,6.92
2026-08-21,3017,奇鋐,5899000,16900635000,6.0
2026-08-21,2327,國巨*,25387000,14064398000,4.99
2026-08-21,6669,緯穎,2226000,13923630000,4.94
2026-08-21,6223,旺矽,2486000,13585990000,4.82
2026-08-21,2345,智邦,6564000,13357740000,4.74
2026-08-21,3653,健策,2395000,12921025000,4.59
2026-08-21,2308,台達電,7040000,12320000000,4.37
2026-08-21,3711,日月光投控,19479000,11434173000,4.06
2026-08-21,8046,南電,9624000,10923240000,3.88
2026-08-21,3665,貿聯-KY,4671848,10628454200,3.77
2026-08-21,2303,聯電,87518000,10195847000,3.62
2026-08-21,6274,台燿,5498000,8219510000,2.92
2026-08-21,5274,信驊,410900,6307315000,2.24
2026-08-21,6805,富世達,2264000,3995960000,1.42
2026-08-21,2449,京元電子,11275450,2615904400,0.93
2026-08-21,8210,勤誠,2477000,2338288000,0.83
2026-08-21,2368,金像電,1957000,1888505000,0.67
2026-08-21,4979,華星光,2424000,1398648000,0.5
2026-08-21,6510,精測,477000,1264050000,0.45
2026-08-21,3264,欣銓,5917000,1201151000,0.43
2026-08-21,8996,高力,1101000,1200090000,0.43
2026-08-21,3443,創意,142000,795200000,0.28
2026-08-21,4958,臻鼎-KY,1645000,725445000,0.26
2026-08-21,6278,台表科,3249000,607563000,0.22
2026-08-21,6187,萬潤,483000,577185000,0.2
2026-08-21,6271,同欣電,2223000,427927500,0.15
2026-08-21,6191,精成科,3988000,327016000,0.12
2026-08-21,3376,新日興,1741000,318603000,0.11
2026-08-21,2002,中鋼,5163000,100420350,0.04
2026-08-21,4966,譜瑞-KY,140000,79240000,0.03
2026-08-21,2637,慧洋-KY,200000,20400000,0.01
2026-08-21,8358,金居,1000,436000,0.0
2026-08-21,3661,世芯-KY,1000,3700000,0.0
2026-08-21,2439,美律,1000,82500,0.0
2026-08-21,1590,亞德客-KY,1000,1435000,0.0
2026-08-21,3008,大立光,1000,5610000,0.0
2026-08-21,2382,廣達,1000,321500,0.0
2026-08-21,2408,南亞科,1000,528000,0.0
2026-08-21,6515,穎崴,1000,6400000,0.0
2026-08-21,2360,致茂,1000,2100000,0.0
2026-08-21,6488,環球晶,1000,941000,0.0
2026-08-21,2313,華通,1000,213500,0.0
2026-08-21,8150,南茂,1000,86700,0.0
2026-08-21,2317,鴻海,1000,245500,0.0
2026-08-21,5347,世界,1000,151500,0.0
2026-08-21,2481,強茂,5000,665000,0.0
