date,code,name,shares,amount,weight
2026-08-10,2330,台積電,12134000,28878920000,9.56
2026-08-10,2383,台光電,4863000,25725270000,8.51
2026-08-10,2454,聯發科,5448000,21574080000,7.14
2026-08-10,3037,欣興,20210000,20048320000,6.63
2026-08-10,6669,緯穎,2708000,16275080000,5.39
2026-08-10,3017,奇鋐,5801000,16039765000,5.31
2026-08-10,6223,旺矽,2443000,15207675000,5.03
2026-08-10,2327,國巨*,25437000,14575401000,4.82
2026-08-10,2345,智邦,6419000,13897135000,4.6
2026-08-10,2308,台達電,7070000,12832050000,4.25
2026-08-10,3711,日月光投控,19529000,12303270000,4.07
2026-08-10,2303,聯電,87718000,10789314000,3.57
2026-08-10,8046,南電,9519000,10756470000,3.56
2026-08-10,3665,貿聯-KY,4616848,10110897120,3.35
2026-08-10,3653,健策,2375000,9820625000,3.25
2026-08-10,6274,台燿,5499000,8028540000,2.66
2026-08-10,5274,信驊,454900,7524046000,2.49
2026-08-10,6805,富世達,2215000,3887325000,1.29
2026-08-10,2368,金像電,4000000,3704000000,1.23
2026-08-10,2449,京元電子,11295450,2806919325,0.93
2026-08-10,8210,勤誠,2497000,2684275000,0.89
2026-08-10,6187,萬潤,1334000,1454060000,0.48
2026-08-10,2360,致茂,572000,1161160000,0.38
2026-08-10,4979,華星光,1874000,1004464000,0.33
2026-08-10,4958,臻鼎-KY,1682000,791381000,0.26
2026-08-10,8996,高力,712000,765400000,0.25
2026-08-10,6510,精測,261000,742545000,0.25
2026-08-10,3264,欣銓,3080000,685300000,0.23
2026-08-10,6278,台表科,3250000,557375000,0.18
2026-08-10,6271,同欣電,2224000,438128000,0.14
2026-08-10,1590,亞德客-KY,228000,357960000,0.12
2026-08-10,6191,精成科,3988000,347753600,0.12
2026-08-10,3376,新日興,1741000,319473500,0.11
2026-08-10,6515,穎崴,23000,157090000,0.05
2026-08-10,4966,譜瑞-KY,140000,84000000,0.03
2026-08-10,2002,中鋼,5163000,101452950,0.03
2026-08-10,8358,金居,1000,346000,0.0
2026-08-10,3661,世芯-KY,1000,3800000,0.0
2026-08-10,3443,創意,1000,4530000,0.0
2026-08-10,2439,美律,1000,82300,0.0
2026-08-10,3008,大立光,1000,4400000,0.0
2026-08-10,2382,廣達,1000,313500,0.0
2026-08-10,3533,嘉澤,1000,1960000,0.0
2026-08-10,2408,南亞科,1000,502000,0.0
2026-08-10,6488,環球晶,1000,854000,0.0
2026-08-10,2313,華通,1000,215000,0.0
2026-08-10,8150,南茂,1000,92900,0.0
2026-08-10,2317,鴻海,1000,264500,0.0
2026-08-10,5347,世界,1000,157500,0.0
2026-08-10,2481,強茂,5000,687500,0.0
