date,code,name,shares,amount,weight
2026-07-21,2330,台積電,11960000,28823600000,10.74
2026-07-21,2383,台光電,4653000,22473990000,8.37
2026-07-21,2454,聯發科,5131000,18830770000,7.01
2026-07-21,2327,國巨*,25098000,16815660000,6.26
2026-07-21,6223,旺矽,2443000,14352625000,5.35
2026-07-21,2345,智邦,6334000,14061480000,5.24
2026-07-21,3037,欣興,16971000,14001075000,5.21
2026-07-21,3017,奇鋐,5423000,12581360000,4.69
2026-07-21,6669,緯穎,2417000,12085000000,4.5
2026-07-21,2303,聯電,86550000,11640975000,4.34
2026-07-21,8046,南電,9519000,11327610000,4.22
2026-07-21,2308,台達電,5567000,10215445000,3.8
2026-07-21,3711,日月光投控,16135000,10213455000,3.8
2026-07-21,3665,貿聯-KY,4833848,9667696000,3.6
2026-07-21,2368,金像電,8315000,8148700000,3.04
2026-07-21,3653,健策,2267000,7979840000,2.97
2026-07-21,6274,台燿,5160000,6372600000,2.37
2026-07-21,5274,信驊,448900,6329490000,2.36
2026-07-21,6805,富世達,1881000,2661615000,0.99
2026-07-21,8210,勤誠,2267000,2641055000,0.98
2026-07-21,2449,京元電子,6197000,1728963000,0.64
2026-07-21,6187,萬潤,1334000,1331332000,0.5
2026-07-21,6147,頎邦,5752000,995096000,0.37
2026-07-21,6510,精測,349000,923105000,0.34
2026-07-21,6515,穎崴,130000,865150000,0.32
2026-07-21,5439,高技,2940000,754110000,0.28
2026-07-21,6278,台表科,4334000,723778000,0.27
2026-07-21,1590,亞德客-KY,528000,718080000,0.27
2026-07-21,6271,同欣電,2966000,594683000,0.22
2026-07-21,6191,精成科,3988000,360914000,0.13
2026-07-21,3264,欣銓,1508000,316680000,0.12
2026-07-21,3376,新日興,1741000,329919500,0.12
2026-07-21,2002,中鋼,5163000,97064400,0.04
2026-07-21,4966,譜瑞-KY,140000,81620000,0.03
2026-07-21,8996,高力,1000,983000,0.0
2026-07-21,8358,金居,1000,394500,0.0
2026-07-21,3661,世芯-KY,1000,3490000,0.0
2026-07-21,1815,富喬,1000,79200,0.0
2026-07-21,3443,創意,1000,4115000,0.0
2026-07-21,2439,美律,1000,84700,0.0
2026-07-21,3008,大立光,1000,3985000,0.0
2026-07-21,4958,臻鼎-KY,1000,509000,0.0
2026-07-21,2382,廣達,1000,324000,0.0
2026-07-21,3533,嘉澤,1000,2030000,0.0
2026-07-21,6488,環球晶,1000,1205000,0.0
2026-07-21,2313,華通,1000,210000,0.0
2026-07-21,8150,南茂,1000,104000,0.0
2026-07-21,2317,鴻海,1000,246000,0.0
2026-07-21,5347,世界,1000,155500,0.0
2026-07-21,2481,強茂,5000,717500,0.0
