date,code,name,shares,amount,weight
2026-08-24,2330,台積電,11884000,28224500000,10.12
2026-08-24,2383,台光電,4843000,26297490000,9.43
2026-08-24,3037,欣興,20300000,21822500000,7.83
2026-08-24,2454,聯發科,5148000,19382220000,6.95
2026-08-24,3017,奇鋐,5899000,16841645000,6.04
2026-08-24,6669,緯穎,2226000,14023800000,5.03
2026-08-24,2327,國巨*,25387000,13988237000,5.02
2026-08-24,6223,旺矽,2486000,13834590000,4.96
2026-08-24,2345,智邦,6564000,13587480000,4.87
2026-08-24,3653,健策,2407000,12408085000,4.45
2026-08-24,2308,台達電,7040000,12214400000,4.38
2026-08-24,3711,日月光投控,19479000,11531568000,4.14
2026-08-24,2303,聯電,89518000,11055473000,3.97
2026-08-24,8046,南電,9624000,10923240000,3.92
2026-08-24,3665,貿聯-KY,4671848,9577288400,3.44
2026-08-24,6274,台燿,5498000,7999590000,2.87
2026-08-24,5274,信驊,383900,5802648500,2.08
2026-08-24,6805,富世達,2264000,3871440000,1.39
2026-08-24,2449,京元電子,11275450,2694832550,0.97
2026-08-24,8210,勤誠,2477000,2395259000,0.86
2026-08-24,2368,金像電,1957000,1855236000,0.67
2026-08-24,8996,高力,1301000,1489645000,0.53
2026-08-24,3443,創意,255000,1368075000,0.49
2026-08-24,4979,華星光,2424000,1325928000,0.48
2026-08-24,6510,精測,477000,1264050000,0.45
2026-08-24,3264,欣銓,5917000,1215943500,0.44
2026-08-24,4958,臻鼎-KY,1645000,716397500,0.26
2026-08-24,6278,台表科,3249000,581571000,0.21
2026-08-24,6187,萬潤,483000,582015000,0.21
2026-08-24,6271,同欣電,2223000,429039000,0.15
2026-08-24,6191,精成科,3988000,323426800,0.12
2026-08-24,3376,新日興,1741000,324696500,0.12
2026-08-24,2002,中鋼,5163000,99129600,0.04
2026-08-24,4966,譜瑞-KY,140000,77980000,0.03
2026-08-24,8358,金居,1000,417000,0.0
2026-08-24,3661,世芯-KY,1000,3735000,0.0
2026-08-24,2439,美律,1000,82400,0.0
2026-08-24,1590,亞德客-KY,1000,1435000,0.0
2026-08-24,3008,大立光,1000,5385000,0.0
2026-08-24,2382,廣達,1000,325000,0.0
2026-08-24,2408,南亞科,1000,501000,0.0
2026-08-24,2637,慧洋-KY,1000,97100,0.0
2026-08-24,6515,穎崴,1000,6145000,0.0
2026-08-24,2360,致茂,1000,2070000,0.0
2026-08-24,6488,環球晶,1000,1010000,0.0
2026-08-24,2313,華通,1000,212500,0.0
2026-08-24,8150,南茂,1000,87700,0.0
2026-08-24,2317,鴻海,1000,243500,0.0
2026-08-24,5347,世界,1000,151000,0.0
2026-08-24,2481,強茂,5000,670000,0.0
