date,code,name,shares,amount,weight
2026-07-13,2330,台積電,11960000,29182400000,10.85
2026-07-13,2383,台光電,4653000,23846625000,8.87
2026-07-13,2327,國巨*,25098000,20479968000,7.61
2026-07-13,2454,聯發科,5131000,19626075000,7.3
2026-07-13,6223,旺矽,2443000,16221520000,6.03
2026-07-13,2345,智邦,6334000,15233270000,5.66
2026-07-13,3037,欣興,16333000,14748699000,5.48
2026-07-13,2303,聯電,86550000,13285425000,4.94
2026-07-13,6669,緯穎,2417000,11988320000,4.46
2026-07-13,8046,南電,9231000,11723370000,4.36
2026-07-13,3017,奇鋐,5191000,11549975000,4.29
2026-07-13,3711,日月光投控,15139000,10143130000,3.77
2026-07-13,2308,台達電,5052000,9548280000,3.55
2026-07-13,3665,貿聯-KY,4833848,9015126520,3.35
2026-07-13,2368,金像電,8315000,8689175000,3.23
2026-07-13,6274,台燿,5160000,7998000000,2.97
2026-07-13,3653,健策,2267000,7243065000,2.69
2026-07-13,5274,信驊,416900,5636488000,2.1
2026-07-13,8210,勤誠,2267000,2573045000,0.96
2026-07-13,6805,富世達,1811000,2553510000,0.95
2026-07-13,6515,穎崴,204000,1504500000,0.56
2026-07-13,6187,萬潤,1334000,1380690000,0.51
2026-07-13,6147,頎邦,6275000,1242450000,0.46
2026-07-13,6510,精測,411000,1140525000,0.42
2026-07-13,5439,高技,3528000,1095444000,0.41
2026-07-13,6278,台表科,4334000,782287000,0.29
2026-07-13,6271,同欣電,2966000,699976000,0.26
2026-07-13,1590,亞德客-KY,528000,696960000,0.26
2026-07-13,2449,京元電子,1886000,579002000,0.22
2026-07-13,6191,精成科,3988000,404782000,0.15
2026-07-13,3264,欣銓,1508000,339300000,0.13
2026-07-13,3376,新日興,1741000,337754000,0.13
2026-07-13,2002,中鋼,5163000,94999200,0.04
2026-07-13,6488,環球晶,50000,74250000,0.03
2026-07-13,4966,譜瑞-KY,140000,90580000,0.03
2026-07-13,8996,高力,1000,1240000,0.0
2026-07-13,8358,金居,1000,498000,0.0
2026-07-13,3661,世芯-KY,1000,4135000,0.0
2026-07-13,1815,富喬,107000,10122200,0.0
2026-07-13,3443,創意,1000,4270000,0.0
2026-07-13,2439,美律,1000,87000,0.0
2026-07-13,3008,大立光,1000,4345000,0.0
2026-07-13,4958,臻鼎-KY,1000,646000,0.0
2026-07-13,2382,廣達,1000,378000,0.0
2026-07-13,3533,嘉澤,1000,1980000,0.0
2026-07-13,2313,華通,1000,235000,0.0
2026-07-13,8150,南茂,1000,115000,0.0
2026-07-13,2317,鴻海,1000,236500,0.0
2026-07-13,5347,世界,1000,178500,0.0
2026-07-13,2481,強茂,5000,960000,0.0
