date,code,name,shares,amount,weight
2026-08-06,2330,台積電,12134000,28696910000,9.28
2026-08-06,2383,台光電,4863000,25798215000,8.34
2026-08-06,2454,聯發科,5448000,21356160000,6.9
2026-08-06,3037,欣興,20210000,19664330000,6.36
2026-08-06,3017,奇鋐,5801000,17054940000,5.51
2026-08-06,6669,緯穎,2708000,16965620000,5.49
2026-08-06,2345,智邦,6419000,15469790000,5.0
2026-08-06,6223,旺矽,2443000,15390900000,4.98
2026-08-06,2327,國巨*,25437000,14499090000,4.69
2026-08-06,3665,貿聯-KY,5130848,12160109760,3.93
2026-08-06,2308,台達電,6505000,10928400000,3.53
2026-08-06,2303,聯電,87718000,10657737000,3.45
2026-08-06,3653,健策,2375000,10568750000,3.42
2026-08-06,8046,南電,9519000,10518495000,3.4
2026-08-06,3711,日月光投控,17439000,10376205000,3.35
2026-08-06,6274,台燿,5499000,8413470000,2.72
2026-08-06,5274,信驊,454900,7619575000,2.46
2026-08-06,2368,金像電,5000000,4925000000,1.59
2026-08-06,6805,富世達,2053000,3613280000,1.17
2026-08-06,8210,勤誠,2497000,3083795000,1.0
2026-08-06,2449,京元電子,11295450,2812567050,0.91
2026-08-06,6187,萬潤,1334000,1567450000,0.51
2026-08-06,4979,華星光,1874000,914512000,0.3
2026-08-06,2360,致茂,472000,932200000,0.3
2026-08-06,1590,亞德客-KY,528000,823680000,0.27
2026-08-06,8996,高力,712000,808120000,0.26
2026-08-06,4958,臻鼎-KY,1682000,810724000,0.26
2026-08-06,6510,精測,261000,739935000,0.24
2026-08-06,6278,台表科,3250000,528125000,0.17
2026-08-06,6271,同欣電,2224000,427008000,0.14
2026-08-06,2408,南亞科,940000,431460000,0.14
2026-08-06,2049,上銀,1080000,390960000,0.13
2026-08-06,6191,精成科,3988000,338581200,0.11
2026-08-06,3376,新日興,1741000,328178500,0.11
2026-08-06,3264,欣銓,1508000,318942000,0.1
2026-08-06,6515,穎崴,23000,155825000,0.05
2026-08-06,4966,譜瑞-KY,140000,84700000,0.03
2026-08-06,2002,中鋼,5163000,98097000,0.03
2026-08-06,8358,金居,1000,384000,0.0
2026-08-06,3661,世芯-KY,1000,3660000,0.0
2026-08-06,3443,創意,1000,4480000,0.0
2026-08-06,2439,美律,1000,80200,0.0
2026-08-06,3008,大立光,1000,4625000,0.0
2026-08-06,2382,廣達,1000,302000,0.0
2026-08-06,3533,嘉澤,1000,1970000,0.0
2026-08-06,6488,環球晶,1000,872000,0.0
2026-08-06,2313,華通,1000,220500,0.0
2026-08-06,8150,南茂,1000,86900,0.0
2026-08-06,2317,鴻海,1000,264500,0.0
2026-08-06,5347,世界,1000,151500,0.0
2026-08-06,2481,強茂,5000,695000,0.0
