date,code,name,shares,amount,weight
2026-09-17,2330,台積電,11864000,28770200000,10.68
2026-09-17,2454,聯發科,5186000,23337000000,8.67
2026-09-17,2383,台光電,4750000,22301250000,8.28
2026-09-17,3037,欣興,20300000,19082000000,7.09
2026-09-17,3017,奇鋐,5949000,18947565000,7.04
2026-09-17,6223,旺矽,2546000,14003000000,5.2
2026-09-17,6669,緯穎,6332561,13520017735,5.02
2026-09-17,3653,健策,2512000,13451760000,5.0
2026-09-17,2327,國巨*,24987000,13218123000,4.91
2026-09-17,2303,聯電,89118000,13144905000,4.88
2026-09-17,2308,台達電,7240000,12199400000,4.53
2026-09-17,2345,智邦,6464000,11635200000,4.32
2026-09-17,3711,日月光投控,16811000,10321954000,3.83
2026-09-17,8046,南電,9426000,10038690000,3.73
2026-09-17,3665,貿聯-KY,4280848,8604504480,3.2
2026-09-17,6274,台燿,5398000,7125360000,2.65
2026-09-17,5274,信驊,207900,3799372500,1.41
2026-09-17,6805,富世達,1731000,3617790000,1.34
2026-09-17,2449,京元電子,12818450,3396889250,1.26
2026-09-17,3443,創意,413000,2684500000,1.0
2026-09-17,3264,欣銓,6628000,1620546000,0.6
2026-09-17,6510,精測,446000,1427200000,0.53
2026-09-17,8210,勤誠,1516000,1350756000,0.5
2026-09-17,4958,臻鼎-KY,2712000,1290912000,0.48
2026-09-17,8996,高力,485000,630500000,0.23
2026-09-17,6278,台表科,3248000,597632000,0.22
2026-09-17,6515,穎崴,95000,581400000,0.22
2026-09-17,6271,同欣電,2222000,499950000,0.19
2026-09-17,6191,精成科,3988000,327813600,0.12
2026-09-17,3376,新日興,1740000,305370000,0.11
2026-09-17,2368,金像電,219000,208050000,0.08
2026-09-17,2002,中鋼,5163000,96548100,0.04
2026-09-17,2313,華通,501000,109468500,0.04
2026-09-17,8358,金居,1000,478500,0.0
2026-09-17,3661,世芯-KY,1000,3295000,0.0
2026-09-17,2439,美律,1000,79300,0.0
2026-09-17,1590,亞德客-KY,1000,1245000,0.0
2026-09-17,3008,大立光,1000,6020000,0.0
2026-09-17,2382,廣達,1000,344000,0.0
2026-09-17,6187,萬潤,1000,1210000,0.0
2026-09-17,4979,華星光,1000,556000,0.0
2026-09-17,2408,南亞科,1000,488000,0.0
2026-09-17,2637,慧洋-KY,1000,102000,0.0
2026-09-17,2360,致茂,1000,2085000,0.0
2026-09-17,6488,環球晶,1000,912000,0.0
2026-09-17,4966,譜瑞-KY,1000,556000,0.0
2026-09-17,8150,南茂,1000,86700,0.0
2026-09-17,2317,鴻海,1000,250500,0.0
2026-09-17,5347,世界,1000,165500,0.0
2026-09-17,2481,強茂,5000,815000,0.0
