date,code,name,shares,amount,weight
2026-08-03,2330,台積電,10740000,25453800000,8.44
2026-08-03,2383,台光電,4797000,23889060000,7.92
2026-08-03,2454,聯發科,5259000,20562690000,6.82
2026-08-03,6669,緯穎,2708000,16044900000,5.32
2026-08-03,3037,欣興,17992000,15563080000,5.16
2026-08-03,2345,智邦,6419000,14988365000,4.97
2026-08-03,3017,奇鋐,5801000,14792550000,4.91
2026-08-03,6223,旺矽,2443000,14181615000,4.7
2026-08-03,2327,國巨*,25437000,14041224000,4.66
2026-08-03,3665,貿聯-KY,5130848,10749126560,3.56
2026-08-03,2303,聯電,87718000,10350724000,3.43
2026-08-03,3711,日月光投控,16327000,9959470000,3.3
2026-08-03,2308,台達電,5932000,9372560000,3.11
2026-08-03,8046,南電,9519000,9071607000,3.01
2026-08-03,3653,健策,2375000,8953750000,2.97
2026-08-03,5274,信驊,454900,7267027500,2.41
2026-08-03,2368,金像電,7579000,6608888000,2.19
2026-08-03,6274,台燿,5229000,6379380000,2.12
2026-08-03,6805,富世達,1957000,2876790000,0.95
2026-08-03,2449,京元電子,11295450,2637487575,0.87
2026-08-03,8210,勤誠,2297000,2515215000,0.83
2026-08-03,6187,萬潤,1334000,1340670000,0.44
2026-08-03,2360,致茂,472000,925120000,0.31
2026-08-03,1590,亞德客-KY,528000,747120000,0.25
2026-08-03,4979,華星光,1874000,762718000,0.25
2026-08-03,4958,臻鼎-KY,1682000,708963000,0.24
2026-08-03,6510,精測,261000,692955000,0.23
2026-08-03,6515,穎崴,93000,581250000,0.19
2026-08-03,6278,台表科,3250000,472875000,0.16
2026-08-03,6271,同欣電,2224000,373632000,0.12
2026-08-03,2408,南亞科,940000,372710000,0.12
2026-08-03,6191,精成科,3988000,327813600,0.11
2026-08-03,3376,新日興,1741000,313380000,0.1
2026-08-03,3264,欣銓,1508000,282750000,0.09
2026-08-03,2049,上銀,430000,142760000,0.05
2026-08-03,6147,頎邦,938000,127099000,0.04
2026-08-03,4966,譜瑞-KY,140000,80640000,0.03
2026-08-03,2002,中鋼,5163000,97322550,0.03
2026-08-03,8996,高力,1000,940000,0.0
2026-08-03,8358,金居,1000,327500,0.0
2026-08-03,3661,世芯-KY,1000,3250000,0.0
2026-08-03,3443,創意,1000,4185000,0.0
2026-08-03,2439,美律,1000,80700,0.0
2026-08-03,3008,大立光,1000,3960000,0.0
2026-08-03,2382,廣達,1000,296500,0.0
2026-08-03,3533,嘉澤,1000,2005000,0.0
2026-08-03,6488,環球晶,1000,866000,0.0
2026-08-03,2313,華通,1000,185500,0.0
2026-08-03,8150,南茂,1000,77600,0.0
2026-08-03,2317,鴻海,1000,253000,0.0
2026-08-03,5347,世界,1000,151000,0.0
2026-08-03,2481,強茂,5000,645000,0.0
