date,code,name,shares,amount,weight
2026-07-09,2330,台積電,11960000,28883400000,10.51
2026-07-09,2383,台光電,4653000,24637635000,8.97
2026-07-09,2327,國巨*,25098000,22588200000,8.22
2026-07-09,2454,聯發科,5131000,20139175000,7.33
2026-07-09,6223,旺矽,2443000,17296440000,6.3
2026-07-09,2345,智邦,6334000,15644980000,5.69
2026-07-09,3037,欣興,15779000,13806625000,5.03
2026-07-09,2303,聯電,86550000,13501800000,4.91
2026-07-09,3017,奇鋐,5191000,12198850000,4.44
2026-07-09,6669,緯穎,2417000,12181680000,4.43
2026-07-09,8046,南電,9149000,11116035000,4.05
2026-07-09,3711,日月光投控,14770000,9999290000,3.64
2026-07-09,2308,台達電,5052000,9497760000,3.46
2026-07-09,3665,貿聯-KY,4833848,9015126520,3.28
2026-07-09,2368,金像電,8315000,8938625000,3.25
2026-07-09,6274,台燿,5160000,8101200000,2.95
2026-07-09,3653,健策,2267000,7265735000,2.64
2026-07-09,5274,信驊,416900,5696938500,2.07
2026-07-09,8210,勤誠,2267000,2663725000,0.97
2026-07-09,6805,富世達,1811000,2644060000,0.96
2026-07-09,6515,穎崴,204000,1584060000,0.58
2026-07-09,6187,萬潤,1334000,1400700000,0.51
2026-07-09,6147,頎邦,6275000,1361675000,0.5
2026-07-09,6510,精測,411000,1173405000,0.43
2026-07-09,5439,高技,3528000,1148364000,0.42
2026-07-09,6278,台表科,4334000,864633000,0.31
2026-07-09,6271,同欣電,2966000,747432000,0.27
2026-07-09,1590,亞德客-KY,528000,675840000,0.25
2026-07-09,2449,京元電子,1886000,581831000,0.21
2026-07-09,6191,精成科,3988000,402788000,0.15
2026-07-09,3264,欣銓,1508000,354380000,0.13
2026-07-09,3376,新日興,1741000,337754000,0.12
2026-07-09,4966,譜瑞-KY,140000,91700000,0.03
2026-07-09,2002,中鋼,5163000,95773650,0.03
2026-07-09,6488,環球晶,50000,67500000,0.02
2026-07-09,8996,高力,1000,1230000,0.0
2026-07-09,8358,金居,1000,533000,0.0
2026-07-09,3661,世芯-KY,1000,4210000,0.0
2026-07-09,1815,富喬,107000,10165000,0.0
2026-07-09,3443,創意,1000,4340000,0.0
2026-07-09,2439,美律,1000,88900,0.0
2026-07-09,3008,大立光,1000,3950000,0.0
2026-07-09,4958,臻鼎-KY,1000,588000,0.0
2026-07-09,2382,廣達,1000,373500,0.0
2026-07-09,3533,嘉澤,1000,1955000,0.0
2026-07-09,2313,華通,1000,223000,0.0
2026-07-09,8150,南茂,1000,117000,0.0
2026-07-09,2317,鴻海,1000,237500,0.0
2026-07-09,5347,世界,1000,173000,0.0
2026-07-09,2481,強茂,5000,1065000,0.0
