date,code,name,shares,amount,weight
2026-09-16,2330,台積電,11864000,28236320000,10.47
2026-09-16,2383,台光電,4750000,24153750000,8.95
2026-09-16,2454,聯發科,5186000,23492580000,8.71
2026-09-16,3037,欣興,20300000,19508300000,7.23
2026-09-16,3017,奇鋐,5949000,18888075000,7.0
2026-09-16,6223,旺矽,2546000,14257600000,5.28
2026-09-16,6669,緯穎,6490561,14052064565,5.21
2026-09-16,2327,國巨*,24987000,13393032000,4.96
2026-09-16,3653,健策,2512000,13162880000,4.88
2026-09-16,2303,聯電,89118000,12654756000,4.69
2026-09-16,2308,台達電,7240000,12380400000,4.59
2026-09-16,2345,智邦,6464000,11893760000,4.41
2026-09-16,8046,南電,9426000,10415730000,3.86
2026-09-16,3711,日月光投控,16811000,10170655000,3.77
2026-09-16,3665,貿聯-KY,4280848,8540291760,3.17
2026-09-16,6274,台燿,5398000,7638170000,2.83
2026-09-16,5274,信驊,207900,3794175000,1.41
2026-09-16,6805,富世達,1731000,3539895000,1.31
2026-09-16,2449,京元電子,12818450,3352024675,1.24
2026-09-16,3443,創意,413000,2548210000,0.94
2026-09-16,6510,精測,446000,1440580000,0.53
2026-09-16,4958,臻鼎-KY,2712000,1338372000,0.5
2026-09-16,8210,勤誠,1516000,1338628000,0.5
2026-09-16,3264,欣銓,5028000,1121244000,0.42
2026-09-16,8996,高力,485000,630500000,0.23
2026-09-16,6278,台表科,3248000,594384000,0.22
2026-09-16,6515,穎崴,95000,589950000,0.22
2026-09-16,6271,同欣電,2222000,506616000,0.19
2026-09-16,6191,精成科,3988000,329807600,0.12
2026-09-16,3376,新日興,1740000,307110000,0.11
2026-09-16,2368,金像電,219000,217248000,0.08
2026-09-16,2002,中鋼,5163000,96289950,0.04
2026-09-16,2313,華通,501000,112725000,0.04
2026-09-16,8358,金居,1000,510000,0.0
2026-09-16,3661,世芯-KY,1000,3345000,0.0
2026-09-16,2439,美律,1000,78000,0.0
2026-09-16,1590,亞德客-KY,1000,1240000,0.0
2026-09-16,3008,大立光,1000,6225000,0.0
2026-09-16,2382,廣達,1000,340500,0.0
2026-09-16,6187,萬潤,1000,1220000,0.0
2026-09-16,4979,華星光,1000,547000,0.0
2026-09-16,2408,南亞科,1000,492500,0.0
2026-09-16,2637,慧洋-KY,1000,102500,0.0
2026-09-16,2360,致茂,1000,2090000,0.0
2026-09-16,6488,環球晶,1000,937000,0.0
2026-09-16,4966,譜瑞-KY,1000,541000,0.0
2026-09-16,8150,南茂,1000,87100,0.0
2026-09-16,2317,鴻海,1000,248000,0.0
2026-09-16,5347,世界,1000,158000,0.0
2026-09-16,2481,強茂,5000,842500,0.0
