date,code,name,shares,amount,weight
2026-09-21,2330,台積電,11864000,29422720000,10.29
2026-09-21,2454,聯發科,5186000,25981860000,9.08
2026-09-21,2383,台光電,4750000,23251250000,8.13
2026-09-21,3037,欣興,20300000,20706000000,7.24
2026-09-21,3017,奇鋐,5949000,20315835000,7.1
2026-09-21,3653,健策,2512000,14544480000,5.09
2026-09-21,6223,旺矽,2544000,13979280000,4.89
2026-09-21,2303,聯電,89118000,13991526000,4.89
2026-09-21,2327,國巨*,24987000,13917759000,4.87
2026-09-21,2308,台達電,7240000,13575000000,4.75
2026-09-21,6669,緯穎,5656561,12161606150,4.25
2026-09-21,2345,智邦,6464000,11893760000,4.16
2026-09-21,3711,日月光投控,16811000,11145693000,3.9
2026-09-21,3665,貿聯-KY,4280848,9845950400,3.44
2026-09-21,8046,南電,9037000,9579220000,3.35
2026-09-21,6274,台燿,5546000,7958510000,2.78
2026-09-21,6805,富世達,1773000,4281795000,1.5
2026-09-21,5274,信驊,207900,4120578000,1.44
2026-09-21,2449,京元電子,13138450,3961242675,1.39
2026-09-21,3443,創意,413000,3144995000,1.1
2026-09-21,3264,欣銓,6628000,1882352000,0.66
2026-09-21,6510,精測,446000,1554310000,0.54
2026-09-21,2368,金像電,1234000,1289530000,0.45
2026-09-21,4958,臻鼎-KY,2712000,1274640000,0.45
2026-09-21,8210,勤誠,1159000,1043100000,0.36
2026-09-21,8996,高力,485000,729925000,0.26
2026-09-21,6278,台表科,3248000,631736000,0.22
2026-09-21,6515,穎崴,95000,550525000,0.19
2026-09-21,6271,同欣電,2222000,511060000,0.18
2026-09-21,6191,精成科,3988000,331801600,0.12
2026-09-21,3376,新日興,1740000,307980000,0.11
2026-09-21,2313,華通,501000,111222000,0.04
2026-09-21,2002,中鋼,5163000,96289950,0.03
2026-09-21,8358,金居,1000,491500,0.0
2026-09-21,3661,世芯-KY,1000,3665000,0.0
2026-09-21,2439,美律,1000,78600,0.0
2026-09-21,1590,亞德客-KY,1000,1240000,0.0
2026-09-21,3008,大立光,1000,6400000,0.0
2026-09-21,2382,廣達,1000,344500,0.0
2026-09-21,6187,萬潤,1000,1235000,0.0
2026-09-21,4979,華星光,1000,618000,0.0
2026-09-21,2408,南亞科,1000,516000,0.0
2026-09-21,2637,慧洋-KY,1000,102500,0.0
2026-09-21,2360,致茂,1000,2375000,0.0
2026-09-21,6488,環球晶,1000,931000,0.0
2026-09-21,4966,譜瑞-KY,1000,567000,0.0
2026-09-21,8150,南茂,1000,103000,0.0
2026-09-21,2317,鴻海,1000,250000,0.0
2026-09-21,5347,世界,1000,172000,0.0
2026-09-21,2481,強茂,5000,840000,0.0
