date,code,name,shares,amount,weight
2026-08-13,2330,台積電,12134000,29546290000,9.48
2026-08-13,2383,台光電,4863000,27670470000,8.88
2026-08-13,2454,聯發科,5448000,23017800000,7.39
2026-08-13,3037,欣興,20210000,20210000000,6.49
2026-08-13,3017,奇鋐,5900000,18880000000,6.06
2026-08-13,2327,國巨*,25437000,16839294000,5.4
2026-08-13,6223,旺矽,2443000,15867285000,5.09
2026-08-13,6669,緯穎,2496000,15150720000,4.86
2026-08-13,2345,智邦,6594000,14968380000,4.8
2026-08-13,2308,台達電,7070000,13326950000,4.28
2026-08-13,3711,日月光投控,19529000,12225154000,3.92
2026-08-13,8046,南電,9634000,11705310000,3.76
2026-08-13,3653,健策,2375000,11008125000,3.53
2026-08-13,2303,聯電,87718000,10920891000,3.5
2026-08-13,3665,貿聯-KY,4616848,10180149840,3.27
2026-08-13,6274,台燿,5499000,8798400000,2.82
2026-08-13,5274,信驊,484900,8480901000,2.72
2026-08-13,6805,富世達,2265000,4144950000,1.33
2026-08-13,2368,金像電,4000000,4040000000,1.3
2026-08-13,2449,京元電子,11295450,2863396575,0.92
2026-08-13,8210,勤誠,2497000,2472030000,0.79
2026-08-13,6187,萬潤,1334000,1694180000,0.54
2026-08-13,2360,致茂,622000,1430600000,0.46
2026-08-13,3264,欣銓,5918000,1364099000,0.44
2026-08-13,4979,華星光,2424000,1367136000,0.44
2026-08-13,6510,精測,478000,1347960000,0.43
2026-08-13,8996,高力,802000,1030570000,0.33
2026-08-13,4958,臻鼎-KY,1682000,803155000,0.26
2026-08-13,6278,台表科,3250000,546000000,0.18
2026-08-13,6271,同欣電,2224000,442576000,0.14
2026-08-13,6191,精成科,3988000,346158400,0.11
2026-08-13,3376,新日興,1741000,329919500,0.11
2026-08-13,6515,穎崴,13000,87685000,0.03
2026-08-13,4966,譜瑞-KY,140000,82040000,0.03
2026-08-13,2002,中鋼,5163000,99129600,0.03
2026-08-13,8358,金居,1000,421000,0.0
2026-08-13,3661,世芯-KY,1000,4190000,0.0
2026-08-13,3443,創意,1000,5540000,0.0
2026-08-13,2439,美律,1000,81500,0.0
2026-08-13,1590,亞德客-KY,1000,1470000,0.0
2026-08-13,3008,大立光,1000,4660000,0.0
2026-08-13,2382,廣達,1000,325000,0.0
2026-08-13,3533,嘉澤,1000,1810000,0.0
2026-08-13,2408,南亞科,1000,514000,0.0
2026-08-13,6488,環球晶,1000,1025000,0.0
2026-08-13,2313,華通,1000,212000,0.0
2026-08-13,8150,南茂,1000,92900,0.0
2026-08-13,2317,鴻海,1000,262000,0.0
2026-08-13,5347,世界,1000,163000,0.0
2026-08-13,2481,強茂,5000,715000,0.0
