date,code,name,shares,amount,weight
2026-07-17,2330,台積電,11960000,27388400000,10.81
2026-07-17,2383,台光電,4653000,20915235000,8.26
2026-07-17,2327,國巨*,25098000,17543502000,6.93
2026-07-17,2454,聯發科,5131000,17291470000,6.83
2026-07-17,6223,旺矽,2443000,13680800000,5.4
2026-07-17,2345,智邦,6334000,13238060000,5.23
2026-07-17,3037,欣興,16607000,13185958000,5.21
2026-07-17,2303,聯電,86550000,12463200000,4.92
2026-07-17,3017,奇鋐,5191000,11420200000,4.51
2026-07-17,6669,緯穎,2417000,11166540000,4.41
2026-07-17,8046,南電,9519000,10946850000,4.32
2026-07-17,3711,日月光投控,16135000,9906890000,3.91
2026-07-17,2308,台達電,5181000,9014940000,3.56
2026-07-17,3665,貿聯-KY,4833848,8531741720,3.37
2026-07-17,2368,金像電,8315000,7708005000,3.04
2026-07-17,3653,健策,2267000,7277070000,2.87
2026-07-17,6274,台燿,5160000,6037200000,2.38
2026-07-17,5274,信驊,448900,5813255000,2.3
2026-07-17,8210,勤誠,2267000,2482365000,0.98
2026-07-17,6805,富世達,1811000,2435795000,0.96
2026-07-17,2449,京元電子,5193000,1487794500,0.59
2026-07-17,6187,萬潤,1334000,1300650000,0.51
2026-07-17,6147,頎邦,6275000,1120087500,0.44
2026-07-17,5439,高技,3528000,924336000,0.36
2026-07-17,6510,精測,349000,902165000,0.36
2026-07-17,6515,穎崴,130000,787150000,0.31
2026-07-17,6278,台表科,4334000,712943000,0.28
2026-07-17,1590,亞德客-KY,528000,667920000,0.26
2026-07-17,6271,同欣電,2966000,602098000,0.24
2026-07-17,6191,精成科,3988000,355729600,0.14
2026-07-17,3264,欣銓,1508000,322712000,0.13
2026-07-17,3376,新日興,1741000,325567000,0.13
2026-07-17,2002,中鋼,5163000,96289950,0.04
2026-07-17,4966,譜瑞-KY,140000,81900000,0.03
2026-07-17,8996,高力,1000,1015000,0.0
2026-07-17,8358,金居,1000,398500,0.0
2026-07-17,3661,世芯-KY,1000,3480000,0.0
2026-07-17,1815,富喬,107000,8720500,0.0
2026-07-17,3443,創意,1000,3835000,0.0
2026-07-17,2439,美律,1000,82100,0.0
2026-07-17,3008,大立光,1000,4010000,0.0
2026-07-17,4958,臻鼎-KY,1000,521000,0.0
2026-07-17,2382,廣達,1000,325500,0.0
2026-07-17,3533,嘉澤,1000,1865000,0.0
2026-07-17,6488,環球晶,1000,1240000,0.0
2026-07-17,2313,華通,1000,212000,0.0
2026-07-17,8150,南茂,1000,110500,0.0
2026-07-17,2317,鴻海,1000,234000,0.0
2026-07-17,5347,世界,1000,169000,0.0
2026-07-17,2481,強茂,5000,757500,0.0
