date,code,name,shares,amount,weight
2026-08-05,2330,台積電,12134000,29182270000,9.5
2026-08-05,2383,台光電,4863000,25506435000,8.31
2026-08-05,2454,聯發科,5448000,21792000000,7.1
2026-08-05,3037,欣興,20210000,19583490000,6.38
2026-08-05,6669,緯穎,2708000,16721900000,5.45
2026-08-05,3017,奇鋐,5801000,15836730000,5.16
2026-08-05,2345,智邦,6419000,15309315000,4.99
2026-08-05,6223,旺矽,2443000,15256535000,4.97
2026-08-05,2327,國巨*,25437000,14702586000,4.79
2026-08-05,3665,貿聯-KY,5130848,12083147040,3.94
2026-08-05,2303,聯電,87718000,10701596000,3.49
2026-08-05,3711,日月光投控,17439000,10341327000,3.37
2026-08-05,3653,健策,2375000,10307500000,3.36
2026-08-05,8046,南電,9519000,10090140000,3.29
2026-08-05,2308,台達電,5932000,9787800000,3.19
2026-08-05,6274,台燿,5499000,8083530000,2.63
2026-08-05,5274,信驊,454900,7287498000,2.37
2026-08-05,2368,金像電,5556000,5222640000,1.7
2026-08-05,6805,富世達,1957000,3131200000,1.02
2026-08-05,2449,京元電子,11295450,2789976150,0.91
2026-08-05,8210,勤誠,2297000,2687490000,0.88
2026-08-05,6187,萬潤,1334000,1427380000,0.46
2026-08-05,4979,華星光,1874000,922008000,0.3
2026-08-05,2360,致茂,472000,889720000,0.29
2026-08-05,4958,臻鼎-KY,1682000,820816000,0.27
2026-08-05,1590,亞德客-KY,528000,797280000,0.26
2026-08-05,8996,高力,712000,736920000,0.24
2026-08-05,6510,精測,261000,719055000,0.23
2026-08-05,6515,穎崴,93000,640305000,0.21
2026-08-05,6278,台表科,3250000,546000000,0.18
2026-08-05,6271,同欣電,2224000,422560000,0.14
2026-08-05,2408,南亞科,940000,418300000,0.14
2026-08-05,2049,上銀,1080000,394200000,0.13
2026-08-05,6191,精成科,3988000,336587200,0.11
2026-08-05,3264,欣銓,1508000,304616000,0.1
2026-08-05,3376,新日興,1741000,322085000,0.1
2026-08-05,4966,譜瑞-KY,140000,86520000,0.03
2026-08-05,2002,中鋼,5163000,97580700,0.03
2026-08-05,8358,金居,1000,349500,0.0
2026-08-05,3661,世芯-KY,1000,3610000,0.0
2026-08-05,3443,創意,1000,4390000,0.0
2026-08-05,2439,美律,1000,81400,0.0
2026-08-05,3008,大立光,1000,4575000,0.0
2026-08-05,2382,廣達,1000,304000,0.0
2026-08-05,3533,嘉澤,1000,1955000,0.0
2026-08-05,6488,環球晶,1000,872000,0.0
2026-08-05,2313,華通,1000,218000,0.0
2026-08-05,8150,南茂,1000,86500,0.0
2026-08-05,2317,鴻海,1000,258500,0.0
2026-08-05,5347,世界,1000,157000,0.0
2026-08-05,2481,強茂,5000,670000,0.0
