date,code,name,shares,amount,weight
2026-06-08,2330,台積電,11960000,27448200000,10.03
2026-06-08,2383,台光電,4486000,21398220000,7.82
2026-06-08,2454,聯發科,4405000,17928350000,6.55
2026-06-08,2345,智邦,6334000,15328280000,5.6
2026-06-08,2308,台達電,6572000,14819860000,5.41
2026-06-08,2327,國巨*,18313000,13753063000,5.03
2026-06-08,3017,奇鋐,5191000,13340870000,4.87
2026-06-08,6669,緯穎,2492000,13145300000,4.8
2026-06-08,6223,旺矽,2169000,11962035000,4.37
2026-06-08,3037,欣興,12466000,11356526000,4.15
2026-06-08,2368,金像電,7949000,10810640000,3.95
2026-06-08,3665,貿聯-KY,4703848,9854561560,3.6
2026-06-08,3711,日月光投控,17948000,9691920000,3.54
2026-06-08,8046,南電,10828000,8998068000,3.29
2026-06-08,2303,聯電,71690000,8674490000,3.17
2026-06-08,3653,健策,2267000,8659940000,3.16
2026-06-08,5274,信驊,422000,7395550000,2.7
2026-06-08,6274,台燿,4400000,6754000000,2.47
2026-06-08,6515,穎崴,442000,3703960000,1.35
2026-06-08,6805,富世達,1761000,3337095000,1.22
2026-06-08,6510,精測,930000,3315450000,1.21
2026-06-08,8210,勤誠,2167000,2979625000,1.09
2026-06-08,2382,廣達,5441000,2048536500,0.75
2026-06-08,2317,鴻海,7307000,1969236500,0.72
2026-06-08,3533,嘉澤,852000,1951080000,0.71
2026-06-08,6187,萬潤,1334000,1440720000,0.53
2026-06-08,6147,頎邦,5775000,1403325000,0.51
2026-06-08,2404,漢唐,1200000,1332000000,0.49
2026-06-08,8996,高力,1034000,1251140000,0.46
2026-06-08,5439,高技,3528000,1245384000,0.46
2026-06-08,4966,譜瑞-KY,1642000,1088646000,0.4
2026-06-08,2449,京元電子,3645000,1051582500,0.38
2026-06-08,8150,南茂,11635000,1014572000,0.37
2026-06-08,6278,台表科,3734000,737465000,0.27
2026-06-08,3443,創意,167000,710585000,0.26
2026-06-08,1590,亞德客-KY,530000,678400000,0.25
2026-06-08,8358,金居,980000,574280000,0.21
2026-06-08,3376,新日興,1741000,411746500,0.15
2026-06-08,6191,精成科,3988000,377663600,0.14
2026-06-08,6271,同欣電,686000,149891000,0.05
2026-06-08,2002,中鋼,5163000,96289950,0.04
2026-06-08,2313,華通,329000,82908000,0.03
2026-06-08,1319,東陽,511000,49975800,0.02
2026-06-08,3264,欣銓,1000,211000,0.0
2026-06-08,3661,世芯-KY,1000,4170000,0.0
2026-06-08,1815,富喬,107000,10368300,0.0
2026-06-08,2439,美律,18000,1621800,0.0
2026-06-08,3008,大立光,1000,3535000,0.0
2026-06-08,5347,世界,1000,156500,0.0
2026-06-08,2481,強茂,5000,742500,0.0
