date,code,name,shares,amount,weight
2026-08-11,2330,台積電,12134000,29060930000,9.6
2026-08-11,2383,台光電,4863000,26916705000,8.9
2026-08-11,2454,聯發科,5448000,21900960000,7.24
2026-08-11,3037,欣興,20210000,20048320000,6.63
2026-08-11,3017,奇鋐,5801000,16010760000,5.29
2026-08-11,2327,國巨*,25437000,15694629000,5.19
2026-08-11,6223,旺矽,2443000,15427545000,5.1
2026-08-11,6669,緯穎,2496000,14801280000,4.89
2026-08-11,2345,智邦,6419000,13704565000,4.53
2026-08-11,2308,台達電,7070000,12761350000,4.22
2026-08-11,3711,日月光投控,19529000,12283741000,4.06
2026-08-11,8046,南電,9519000,10946850000,3.62
2026-08-11,2303,聯電,87718000,10789314000,3.57
2026-08-11,3665,貿聯-KY,4616848,10157065600,3.36
2026-08-11,3653,健策,2375000,9654375000,3.19
2026-08-11,6274,台燿,5499000,8825895000,2.92
2026-08-11,5274,信驊,454900,7478556000,2.47
2026-08-11,6805,富世達,2215000,3964850000,1.31
2026-08-11,2368,金像電,4000000,3856000000,1.27
2026-08-11,2449,京元電子,11295450,2778680700,0.92
2026-08-11,8210,勤誠,2497000,2534455000,0.84
2026-08-11,6187,萬潤,1334000,1400700000,0.46
2026-08-11,2360,致茂,572000,1189760000,0.39
2026-08-11,4979,華星光,2174000,1108740000,0.37
2026-08-11,6510,精測,361000,1010800000,0.33
2026-08-11,4958,臻鼎-KY,1682000,824180000,0.27
2026-08-11,8996,高力,712000,758280000,0.25
2026-08-11,3264,欣銓,3080000,676060000,0.22
2026-08-11,6278,台表科,3250000,544375000,0.18
2026-08-11,6271,同欣電,2224000,434792000,0.14
2026-08-11,6191,精成科,3988000,343366800,0.11
2026-08-11,3376,新日興,1741000,320344000,0.11
2026-08-11,6515,穎崴,23000,159160000,0.05
2026-08-11,4966,譜瑞-KY,140000,83300000,0.03
2026-08-11,2002,中鋼,5163000,101969250,0.03
2026-08-11,8358,金居,1000,380500,0.0
2026-08-11,3661,世芯-KY,1000,3955000,0.0
2026-08-11,3443,創意,1000,4955000,0.0
2026-08-11,2439,美律,1000,81900,0.0
2026-08-11,1590,亞德客-KY,1000,1560000,0.0
2026-08-11,3008,大立光,1000,4355000,0.0
2026-08-11,2382,廣達,1000,315500,0.0
2026-08-11,3533,嘉澤,1000,1990000,0.0
2026-08-11,2408,南亞科,1000,489000,0.0
2026-08-11,6488,環球晶,1000,849000,0.0
2026-08-11,2313,華通,1000,211500,0.0
2026-08-11,8150,南茂,1000,99000,0.0
2026-08-11,2317,鴻海,1000,263000,0.0
2026-08-11,5347,世界,1000,158000,0.0
2026-08-11,2481,強茂,5000,707500,0.0
