date,code,name,shares,amount,weight
2026-06-10,2330,台積電,11960000,26969800000,9.9
2026-06-10,2383,台光電,4486000,22160840000,8.13
2026-06-10,2454,聯發科,4649000,19316595000,7.09
2026-06-10,2327,國巨*,19513000,15981147000,5.86
2026-06-10,2345,智邦,6334000,14979910000,5.5
2026-06-10,2308,台達電,6572000,14458400000,5.31
2026-06-10,6669,緯穎,2492000,12621980000,4.63
2026-06-10,6223,旺矽,2169000,12515130000,4.59
2026-06-10,3017,奇鋐,5191000,12250760000,4.5
2026-06-10,2368,金像電,8315000,11807300000,4.33
2026-06-10,3037,欣興,12466000,11019944000,4.04
2026-06-10,3665,貿聯-KY,4703848,10136792440,3.72
2026-06-10,3711,日月光投控,17948000,9673972000,3.55
2026-06-10,8046,南電,10828000,9171316000,3.37
2026-06-10,2303,聯電,73690000,8732265000,3.2
2026-06-10,3653,健策,2267000,8614600000,3.16
2026-06-10,6274,台燿,4763000,7144500000,2.62
2026-06-10,5274,信驊,422000,7106480000,2.61
2026-06-10,6515,穎崴,442000,3591250000,1.32
2026-06-10,8210,勤誠,2267000,3275815000,1.2
2026-06-10,6805,富世達,1761000,3090555000,1.13
2026-06-10,6510,精測,930000,2976000000,1.09
2026-06-10,2317,鴻海,7307000,1921741000,0.71
2026-06-10,3533,嘉澤,852000,1853100000,0.68
2026-06-10,6187,萬潤,1334000,1420710000,0.52
2026-06-10,2404,漢唐,1200000,1380000000,0.51
2026-06-10,6147,頎邦,5775000,1305150000,0.48
2026-06-10,8996,高力,1034000,1261480000,0.46
2026-06-10,5439,高技,3528000,1254204000,0.46
2026-06-10,4966,譜瑞-KY,1642000,1087004000,0.4
2026-06-10,8150,南茂,11635000,1027370500,0.38
2026-06-10,2449,京元電子,3645000,991440000,0.36
2026-06-10,6278,台表科,3734000,701992000,0.26
2026-06-10,3443,創意,167000,672175000,0.25
2026-06-10,1590,亞德客-KY,530000,681050000,0.25
2026-06-10,8358,金居,980000,543900000,0.2
2026-06-10,6191,精成科,3988000,368491200,0.14
2026-06-10,3376,新日興,1741000,368221500,0.14
2026-06-10,6271,同欣電,686000,154350000,0.06
2026-06-10,2002,中鋼,5163000,96548100,0.04
2026-06-10,2313,華通,329000,85211000,0.03
2026-06-10,1319,東陽,511000,54677000,0.02
2026-06-10,3264,欣銓,1000,211500,0.0
2026-06-10,3661,世芯-KY,1000,4040000,0.0
2026-06-10,1815,富喬,107000,9779800,0.0
2026-06-10,2439,美律,18000,1611000,0.0
2026-06-10,3008,大立光,1000,4130000,0.0
2026-06-10,2382,廣達,1000,380500,0.0
2026-06-10,5347,世界,1000,152500,0.0
2026-06-10,2481,強茂,5000,677500,0.0
