date,code,name,shares,amount,weight
2026-08-19,2383,台光電,4843000,28476840000,9.96
2026-08-19,2330,台積電,11884000,27927400000,9.76
2026-08-19,3037,欣興,20300000,22939000000,8.02
2026-08-19,2454,聯發科,5348000,20563060000,7.19
2026-08-19,3017,奇鋐,5899000,18257405000,6.38
2026-08-19,2327,國巨*,25387000,14622912000,5.11
2026-08-19,6669,緯穎,2226000,14190750000,4.96
2026-08-19,2345,智邦,6564000,13948500000,4.88
2026-08-19,3653,健策,2395000,13076700000,4.57
2026-08-19,6223,旺矽,2442000,12832710000,4.49
2026-08-19,2308,台達電,7040000,12425600000,4.34
2026-08-19,3711,日月光投控,19479000,11453652000,4.0
2026-08-19,8046,南電,9624000,11356320000,3.97
2026-08-19,3665,貿聯-KY,4615848,10154865600,3.55
2026-08-19,2303,聯電,87518000,10108329000,3.53
2026-08-19,6274,台燿,5498000,8247000000,2.88
2026-08-19,5274,信驊,410900,6504547000,2.27
2026-08-19,6805,富世達,2264000,4075200000,1.42
2026-08-19,2449,京元電子,11275450,2649730750,0.93
2026-08-19,8210,勤誠,2477000,2439845000,0.85
2026-08-19,2368,金像電,2000000,2080000000,0.73
2026-08-19,4979,華星光,2424000,1282296000,0.45
2026-08-19,8996,高力,1101000,1249635000,0.44
2026-08-19,6510,精測,477000,1268820000,0.44
2026-08-19,3264,欣銓,5917000,1221860500,0.43
2026-08-19,6187,萬潤,833000,1087065000,0.38
2026-08-19,4958,臻鼎-KY,1645000,751765000,0.26
2026-08-19,2360,致茂,294000,623280000,0.22
2026-08-19,6278,台表科,3249000,566950500,0.2
2026-08-19,6271,同欣電,2223000,431262000,0.15
2026-08-19,6191,精成科,3988000,329010000,0.12
2026-08-19,3376,新日興,1741000,324696500,0.11
2026-08-19,4966,譜瑞-KY,140000,81480000,0.03
2026-08-19,2002,中鋼,5163000,97838850,0.03
2026-08-19,2637,慧洋-KY,200000,18360000,0.01
2026-08-19,8358,金居,1000,410500,0.0
2026-08-19,3661,世芯-KY,1000,3630000,0.0
2026-08-19,3443,創意,1000,5295000,0.0
2026-08-19,2439,美律,1000,79100,0.0
2026-08-19,1590,亞德客-KY,1000,1455000,0.0
2026-08-19,3008,大立光,1000,5550000,0.0
2026-08-19,2382,廣達,1000,331000,0.0
2026-08-19,2408,南亞科,1000,481000,0.0
2026-08-19,6515,穎崴,1000,6370000,0.0
2026-08-19,6488,環球晶,1000,983000,0.0
2026-08-19,2313,華通,1000,207500,0.0
2026-08-19,8150,南茂,1000,87300,0.0
2026-08-19,2317,鴻海,1000,245000,0.0
2026-08-19,5347,世界,1000,151500,0.0
2026-08-19,2481,強茂,5000,682500,0.0
